,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more [MASK], nut or bolt?",No,No,length,thread,handle,nut,twist,nuts
1,"Which is wider, and thus has more [MASK], bed or chair?",No,No,width,room,beds,furniture,seating,rooms
2,"Rock is heavier, thus has a higher [MASK].",No,Yes,weight,density,weight,yield,hardness,content
3,"Which is more nutritious, and thus more [MASK], burger or green vegetables?",No,No,healthy,meat,delicious,sweet,expensive,fruit
4,"Which is more denser, and thus has a higher [MASK], oil or water?",Yes,Yes,density,density,content,temperature,concentration,humidity
5,"Which is faster, and thus has a higher [MASK], a cheetah or a turtle?",No,Yes,speed,predator,intelligence,density,speed,payload
6,"Which is cooler, and thus has a lower [MASK], ice or water?",Yes,Yes,temperature,temperature,density,humidity,atmosphere,climate
7,"We need the BMI to determine who is [MASK], John Adams or Bill Clinton.",No,No,healthy,gay,responsible,correct,involved,convicted
8,"We need the altitude to determine which is [MASK], Mt. Everest or Mt. Fuji.",No,No,higher,summit,Mt,Mount,highest,peak
9,"Which has more protein, and thus more [MASK], chicken or potato?",No,No,healthy,vegetables,meat,protein,potatoes,beef
10,"Which has less sugar, and is thus more [MASK], pepsi or beetroot?",No,No,healthy,expensive,sweet,sugar,bitter,popular
11,"Which is taller and thus has more [MASK], Eiffel Tower or Burj Khalifa?",No,No,height,seats,windows,rooms,room,wings
12,"What’s wider, and thus has a higher [MASK], table or chair?",No,No,width,table,chair,desk,stool,bench
13,"Which is more nutritious, and thus more [MASK], cheese or candies?",No,No,healthy,sweet,meat,fruit,bread,sugar
14,"Which is more nutritious, and thus more [MASK], soup or chocolates?",No,No,healthy,sweet,delicious,expensive,bitter,cheap
15,"We need the height to determine who is [MASK], Dwight D. Eisenhower or Bill Clinton",No,Yes,taller,tallest,taller,tall,seated,correct
16,"What’s hotter, and thus has a higher [MASK] London or Berlin?",Yes,Yes,temperature,temperature,probability,density,energy,heat
17,"What’s humid and thus has a higher [MASK], London or Berlin?",No,No,rainfall,density,probability,temperature,humidity,frequency
18,"This road is wider, thus it has more [MASK].",No,No,width,lanes,traffic,curves,bends,access
19,People of [MASK] 55 or older should consult their physician.,Yes,Yes,age,age,ages,aged,years,those
20,"Which is more humid and thus has a higher [MASK], New Delhi or Berlin?",No,Yes,rainfall,humidity,temperature,climate,density,rainfall
21,"Which is heavier and thus has a higher [MASK], iron or plasic?",No,No,weight,density,hardness,concentration,affinity,temperature
22,"Which is heavier and thus has a higher [MASK], rock or paper?",No,Yes,weight,density,hardness,weight,thickness,content
23,"Which is cooler, and thus has a lower [MASK], sea or sand?",Yes,Yes,temperature,temperature,climate,atmosphere,density,surface
24,"Which is cooler and thus has a lower [MASK], North Pole or Sahara Desert?",Yes,Yes,temperature,temperature,latitude,climate,density,humidity
25,"Which is longer, and thus has more [MASK], train or aeroplane?",No,No,length,aircraft,fuel,passengers,engines,baggage
26,"Which is deeper, and thus has more [MASK], swimming pool or ocean?",No,Yes,depth,water,pool,pools,depth,amenities
27,"Which is deeper, and thus has more [MASK], oil well or water well?",No,Yes,depth,wells,water,depth,well,reservoirs
28,"Which is louder, and thus has higher [MASK], opera or a rock concert?",No,No,volume,tempo,quality,popularity,expectations,voices
29,"Which is humid, and thus has higher [MASK], Hyderabad or Cairo?",No,Yes,rainfall,humidity,rainfall,temperatures,precipitation,temperature
30,"Which is bigger, and thus has higher [MASK], Cargo ship or car?",No,No,volume,prices,capacity,density,dimensions,cost
31,"Which is brighter and thus has a higher [MASK], bulb or the sun?",No,Yes,brightness,temperature,brightness,intensity,sun,density
32,"Which is brighter and thus has a higher [MASK], lamp or bulb?",Yes,Yes,brightness,brightness,lamp,temperature,aperture,voltage
33,"Which has a higher population, and thus more [MASK], San Francisco or New York?",Yes,Yes,populous,populous,affluent,likely,importantly,economically
34,"Which has a higher population, and thus more [MASK], Mumbai or New Delhi?",Yes,Yes,populous,populous,affluent,economically,prosperous,cities
35,"Who has a higher wealth and is thus more [MASK], Bill Gates or Satya Nadella?",No,Yes,wealthy,powerful,wealthy,attractive,affluent,educated
36,"Who is richer and thus has more [MASK], Bill Gates or Satya Nadella?",Yes,Yes,wealth,wealth,money,servants,followers,children
