,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"To everyone 's surprise , Aenarion took another wife , the strange , mysterious and beautiful seeress Morathi whom he had rescued from a [MASK] of Slaanesh worshippers .",No,No,Band,[PAD],city,-,status,##ious
1,He 's joined a growing [MASK] of young homeless in Oxfordshire .,No,No,Band,",",##ious,-,[PAD],status
2,Special thanks were due to Chris Markham who had had overall responsibility for organising the day and her [MASK] of very efficient and hard-working helpers .,No,No,Band,city,",",more,in,con
3,Other miscellaneous missiles rained in on him as he clambered down from the improvised platform with the help of his small [MASK] of left-wing brothers .,No,No,Band,city,",",united,##s,##o
4,He stalked off towards the camp 's edge where a huge [MASK] of his brothers waited .,No,No,Band,",",sports,con,status,##s
5,"A divided Church , adding to the divisions in a divided land ; or a Church led by a [MASK] of brothers ( and sisters ) as a healing force ?",No,No,Band,status,",",-,city,##cu
6,In the execution of their duties the foresters often had to contend with armed [MASK] of desperate men ; in many cases they were beaten and even killed while attempting to arrest Forest offenders .,No,No,Bands,",",in,-,man,status
7,"He is accompanied by a [MASK] of men , presumably armed , and bears arrest warrants from the High Priest .",No,No,Band,and,cu,gu,of,city
8,William Prime thanked Grimsdale politely and the small [MASK] of disappointed people walked dejectedly away .,No,No,Band,",",city,from,-,and
9,"In the next years Studd and a small [MASK] of young people overcame difficulties to found a flourishing church , the start of a new pioneer mission , the Worldwide Evangelization Crusade ( 1919 ) .",No,No,Band,status,",",city,in,and
10,Every evening throughout 1922 a [MASK] of youths from the colony volunteered to guard the local stretch of the main road into Poltava .,No,No,Band,[PAD],status,gu,##rit,","
11,"The layout is owned by Alistair Kerr and assisted by a small [MASK] of volunteer workers , ranging in age groups between 10 and 20 .",No,No,Band,",",city,con,from,more
12,"The [MASK] of volunteers rallied willingly at Edith 's command , and though her residency was comparatively short , her influence was great .",No,No,Bands,status,city,",",cu,of
13,"Then with slow deliberation they walked on , their spades clasped to them , as if they were a [MASK] of ancient warriors .",No,No,Band,city,-,cu,##cu,status
14,"We seized our weapons and ran to Kilgrimol , and out of the Treasure House came a [MASK] of warrior women , bearing Undry .",No,No,Band,of,city,status,-,[PAD]
15,A [MASK] of British women truck drivers from the Royal Corps of Transport are ferrying supplies to the front line along treacherous mountainous dirt tracks .,No,No,Band,##ious,[PAD],-,status,gu
16,"Together the [MASK] of women wailed and sang out , beating cymbals and drums .",No,No,Band,city,-,gu,con,has
17,"Most of the graves were of infants and children , but there were also several dating from the Mutiny when a gallant [MASK] of British officers had died defending their women and children .",No,No,Band,",",more,##ious,in,[PAD]
18,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own "" [MASK] "" of ringers , who would herald every Sunday morning and evening service .",No,No,Band,more,city,weight,gu,in
19,""" Ringing does become a bit of an obsession , '' admits Stephanie Pattenden , master of the [MASK] at St. Mary Abbot and one of England 's best female ringers .",No,No,Band,[PAD],length,stall,roll,nut
20,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire [MASK] ; the ringers promptly set up a picket line in protest .",No,No,Band,in,[PAD],status,weight,##cy
21,"An entirely new [MASK] rings today at Great Torrington , several of whom are members of the congregation .",No,No,Band,is,",",in,##ious,nut
22,A double [MASK] of white shells were strung round the centre of it .,No,No,Band,##s,more,##u,in,of
23,"Iran is motivated by its aspirations for political , religious , and military leadership in the [MASK] , unlike North Korea , for whom mere survival appears to be the priority .",No,No,Region,[PAD],",",united,city,status
24,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel and US forces deployed in the [MASK] .",No,No,Region,[PAD],city,united,bay,kingdom
25,"Iranian Defense and Foreign Ministry officials continue to defend Iran 's right to protect itself from potential threats in the [MASK] , while denying any ill intent towards countries such as the United States .",No,No,Region,[PAD],city,more,united,","
26,"Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea [MASK] .",No,No,Regions,[SEP],city,##s,status,##g
27,"Iran has a stockpile of these weapons , including artillery shells and bombs , which could be used in another conflict in the [MASK] .",No,No,Region,[PAD],united,city,more,kingdom
28,Maintenance and expansion of Sino - Iranian relations naturally constitutes an important component of Chinese strategy in extending its influence to the [MASK] .,No,No,Region,[PAD],more,united,city,","
29,"Conversely , the US regards Iran as a rogue state that sponsors international terrorism ( including support for terrorists targeting the United States ) and seeks to subvert US allies in the [MASK] .",No,No,Region,[PAD],more,united,city,","
30,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel , and US forces deployed in the [MASK] .",No,No,Region,[PAD],city,united,bay,","
31,Libya claims it will not sign the CWC as long as other countries in the [MASK] possess NBC weapons .,No,No,Region,[PAD],united,city,",",##s
32,"In the 1960s , Ferndale resident Jack Alderson commanded a group of light tugs that made trips to the islands that last week were declared a monument , as well as other remote atolls in the [MASK] .",No,No,Region,[PAD],kingdom,united,city,##s
33,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the [MASK] by trade and diplomacy .",No,No,Region,[PAD],kingdom,city,in,more
34,"In the wake of this tremendous natural upheaval , the Aegean Islands next came under the influence of the Mycenaeans ( at around 1300 b.c. ) , who had a base in the Peloponnese [MASK] of the Greek mainland .",No,No,Region,",",##k,city,-,from
35,"Greece moved in to administer the land , but a new influence upset any grand dreams of making this [MASK] a part of greater Greece .",No,No,Region,",",is,status,in,city
