,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more [MASK], nut or bolt?",No,No,length,##tet,allocation,swat,apologies,##oned
1,"Which is wider, and thus has more [MASK], bed or chair?",No,No,width,allocation,##tet,abe,##oned,memorials
2,"Rock is heavier, thus has a higher [MASK].",No,No,weight,tempered,manners,##ld,##sle,memo
3,"Which is more nutritious, and thus more [MASK], burger or green vegetables?",No,No,healthy,julien,##mun,trillion,inherently,kendrick
4,"Which is more denser, and thus has a higher [MASK], oil or water?",No,No,density,manners,evidence,##ld,##oned,##bbe
5,"Which is faster, and thus has a higher [MASK], a cheetah or a turtle?",No,No,speed,manners,##ld,allocation,memo,##bbe
6,"Which is cooler, and thus has a lower [MASK], ice or water?",No,No,temperature,evidence,sac,##lists,statements,manners
7,"We need the BMI to determine who is [MASK], John Adams or Bill Clinton.",No,No,healthy,abe,##oning,responses,hove,cosmopolitan
8,"We need the altitude to determine which is [MASK], Mt. Everest or Mt. Fuji.",No,No,higher,##oning,##nob,memo,sac,abe
9,"Which has more protein, and thus more [MASK], chicken or potato?",No,No,healthy,julien,##oning,exposure,##eto,##national
10,"Which has less sugar, and is thus more [MASK], pepsi or beetroot?",No,No,healthy,joey,enrique,condo,hind,towards
11,"Which is taller and thus has more [MASK], Eiffel Tower or Burj Khalifa?",No,No,height,##fles,##tet,booker,apologies,memorials
12,"What’s wider, and thus has a higher [MASK], table or chair?",No,No,width,chromosomes,statements,predictions,decidedly,##oned
13,"Which is more nutritious, and thus more [MASK], cheese or candies?",No,No,healthy,trillion,##bbe,julien,##mun,centennial
14,"Which is more nutritious, and thus more [MASK], soup or chocolates?",No,No,healthy,julien,trillion,##mun,centennial,ridley
15,"We need the height to determine who is [MASK], Dwight D. Eisenhower or Bill Clinton",No,No,taller,penal,abe,##oning,ab,promise
16,"What’s hotter, and thus has a higher [MASK] London or Berlin?",No,No,temperature,cp,manners,chromosomes,##ld,##oned
17,"What’s humid and thus has a higher [MASK], London or Berlin?",No,No,rainfall,manners,statements,documentation,evidence,isbn
18,"This road is wider, thus it has more [MASK].",No,No,width,matteo,incumbent,vs,tags,winston
19,People of [MASK] 55 or older should consult their physician.,No,No,age,##gf,sac,##net,rating,organs
20,"Which is more humid and thus has a higher [MASK], New Delhi or Berlin?",No,No,rainfall,manners,evidence,##oned,turnover,cp
