item,itemLabel
http://www.wikidata.org/entity/Q321800,Abkantwerkzeug
http://www.wikidata.org/entity/Q107196577,adastra
http://www.wikidata.org/entity/Q4685839,Adso
http://www.wikidata.org/entity/Q381188,AeroPress
http://www.wikidata.org/entity/Q3821542,agitator
http://www.wikidata.org/entity/Q61755885,Agulheta
http://www.wikidata.org/entity/Q297019,Ölgeber
http://www.wikidata.org/entity/Q61766176,Alicate
http://www.wikidata.org/entity/Q1126263,alidade
http://www.wikidata.org/entity/Q12818074,Andaza
http://www.wikidata.org/entity/Q104363,anvil
http://www.wikidata.org/entity/Q4653135,AOHell
http://www.wikidata.org/entity/Q61765986,Aparelho
http://www.wikidata.org/entity/Q107618380,applicator
http://www.wikidata.org/entity/Q107196595,aracapá
http://www.wikidata.org/entity/Q61764926,Arame
http://www.wikidata.org/entity/Q107196596,arch
http://www.wikidata.org/entity/Q107196654,arrow
http://www.wikidata.org/entity/Q29888707,attachment
http://www.wikidata.org/entity/Q11687035,autograf
http://www.wikidata.org/entity/Q12360078,Avardi
http://www.wikidata.org/entity/Q60755965,Axe
http://www.wikidata.org/entity/Q1315940,backscratcher
http://www.wikidata.org/entity/Q2879217,Baguernette
http://www.wikidata.org/entity/Q860571,bait
http://www.wikidata.org/entity/Q3634954,bareno
http://www.wikidata.org/entity/Q61764946,Barra
http://www.wikidata.org/entity/Q4835117,BC-610
http://www.wikidata.org/entity/Q814791,Beinkamm
http://www.wikidata.org/entity/Q208103,bellows
http://www.wikidata.org/entity/Q4835513,BFAST
http://www.wikidata.org/entity/Q107196699,billet
http://www.wikidata.org/entity/Q4902360,BiPu
http://www.wikidata.org/entity/Q61764966,Bits
http://www.wikidata.org/entity/Q61764968,Bloco
http://www.wikidata.org/entity/Q1331759,Blowpipe
http://www.wikidata.org/entity/Q1445068,blowtorch
http://www.wikidata.org/entity/Q107196682,bob
http://www.wikidata.org/entity/Q1147806,bolt
http://www.wikidata.org/entity/Q79497078,Brace
http://www.wikidata.org/entity/Q10641314,Bradawl
http://www.wikidata.org/entity/Q26271546,broach
http://www.wikidata.org/entity/Q61764974,Broca
http://www.wikidata.org/entity/Q61764894,Brocas
http://www.wikidata.org/entity/Q107196600,brussa
http://www.wikidata.org/entity/Q4982389,Buccan
http://www.wikidata.org/entity/Q4997069,Bullwhip
http://www.wikidata.org/entity/Q494607,Burdizzo
http://www.wikidata.org/entity/Q10859027,burin
http://www.wikidata.org/entity/Q98078450,burnisher
http://www.wikidata.org/entity/Q5000313,Burr
http://www.wikidata.org/entity/Q5003105,buttonhook
http://www.wikidata.org/entity/Q12838284,Cüt
http://www.wikidata.org/entity/Q31087,calculator
http://www.wikidata.org/entity/Q61766217,Calibrador
http://www.wikidata.org/entity/Q79499816,Calipers
http://www.wikidata.org/entity/Q61765635,Cantoneira
http://www.wikidata.org/entity/Q61755870,Carretel
http://www.wikidata.org/entity/Q61765017,Castanha
http://www.wikidata.org/entity/Q16915873,Chak-pur
http://www.wikidata.org/entity/Q61765035,Chapa
http://www.wikidata.org/entity/Q107196621,chibanca
http://www.wikidata.org/entity/Q107196623,chisel
http://www.wikidata.org/entity/Q79892201,Chopstick
http://www.wikidata.org/entity/Q21013374,chuck
http://www.wikidata.org/entity/Q61765651,Cilindro
http://www.wikidata.org/entity/Q2974214,Ciroir
http://www.wikidata.org/entity/Q846600,clamp
http://www.wikidata.org/entity/Q204461,clipboard
http://www.wikidata.org/entity/Q107196696,club
http://www.wikidata.org/entity/Q68,computer
http://www.wikidata.org/entity/Q987767,container
http://www.wikidata.org/entity/Q61765085,Contra-Ponta
http://www.wikidata.org/entity/Q61765786,Copo
http://www.wikidata.org/entity/Q61766035,Corrente
http://www.wikidata.org/entity/Q61765510,Cossinete
http://www.wikidata.org/entity/Q107640289,creeper
http://www.wikidata.org/entity/Q107196640,crimper
http://www.wikidata.org/entity/Q5688598,Crochet
http://www.wikidata.org/entity/Q13681,crowbar
http://www.wikidata.org/entity/Q2247610,cutlery
http://www.wikidata.org/entity/Q107196624,cutter
http://www.wikidata.org/entity/Q107196629,cutthroat
http://www.wikidata.org/entity/Q23498096,Dědek
http://www.wikidata.org/entity/Q3011570,Daba
http://www.wikidata.org/entity/Q4036845,DACL
http://www.wikidata.org/entity/Q79474123,Dagger
http://www.wikidata.org/entity/Q107196630,descalçadeira
http://www.wikidata.org/entity/Q107196632,descornador
http://www.wikidata.org/entity/Q107196633,despontador
http://www.wikidata.org/entity/Q107196634,diamond
http://www.wikidata.org/entity/Q79499778,Dividers
http://www.wikidata.org/entity/Q5205587,DMAN
http://www.wikidata.org/entity/Q107196638,dobadeira
http://www.wikidata.org/entity/Q5288153,dog
http://www.wikidata.org/entity/Q107196671,dowel
http://www.wikidata.org/entity/Q10476409,Dragg
http://www.wikidata.org/entity/Q58964,drill
http://www.wikidata.org/entity/Q107196677,drypoint
http://www.wikidata.org/entity/Q11122350,艣
http://www.wikidata.org/entity/Q1274041,eCATT
http://www.wikidata.org/entity/Q1723984,edger
http://www.wikidata.org/entity/Q3047576,Edicy
http://www.wikidata.org/entity/Q9251922,Ekruda
http://www.wikidata.org/entity/Q107196643,escoda
http://www.wikidata.org/entity/Q106207910,Esteca
http://www.wikidata.org/entity/Q61765163,Estilete
http://www.wikidata.org/entity/Q5428706,factor
http://www.wikidata.org/entity/Q2002016,fastener
http://www.wikidata.org/entity/Q2002016,fastening
