item,itemLabel
http://www.wikidata.org/entity/Q7832353,Šampita
http://www.wikidata.org/entity/Q5395567,æbleskiver
http://www.wikidata.org/entity/Q5642869,étouffée
http://www.wikidata.org/entity/Q272964,Çäkçäk
http://www.wikidata.org/entity/Q55638285,Çökertme
http://www.wikidata.org/entity/Q263948,Žemlovka
http://www.wikidata.org/entity/Q19841241,açma
http://www.wikidata.org/entity/Q2464350,Öçpoçmaq
http://www.wikidata.org/entity/Q107358883,Abacha
http://www.wikidata.org/entity/Q4668108,Abnabat
http://www.wikidata.org/entity/Q4668424,Aborrajado
http://www.wikidata.org/entity/Q480906,Absnicli
http://www.wikidata.org/entity/Q64490692,Abunuabunu
http://www.wikidata.org/entity/Q392935,accara
http://www.wikidata.org/entity/Q6426645,Achappam
http://www.wikidata.org/entity/Q2870132,acheke
http://www.wikidata.org/entity/Q15630073,Acquacotta
http://www.wikidata.org/entity/Q4678219,Ada
http://www.wikidata.org/entity/Q4682544,Adhirasam
http://www.wikidata.org/entity/Q11284032,adobo
http://www.wikidata.org/entity/Q107357284,agidi
http://www.wikidata.org/entity/Q17062449,Aguapanela
http://www.wikidata.org/entity/Q16207756,Aila
http://www.wikidata.org/entity/Q4699709,Ajethna
http://www.wikidata.org/entity/Q413449,ajvar
http://www.wikidata.org/entity/Q392935,Akara
http://www.wikidata.org/entity/Q4701955,Akumaki
http://www.wikidata.org/entity/Q18285591,Alambre
http://www.wikidata.org/entity/Q239977,Albacore
http://www.wikidata.org/entity/Q4712942,alcapurria
http://www.wikidata.org/entity/Q4720543,Alexandertorte
http://www.wikidata.org/entity/Q938682,Alfajor
http://www.wikidata.org/entity/Q5666489,alfajores
http://www.wikidata.org/entity/Q3774491,Alicot
http://www.wikidata.org/entity/Q107862812,Alkaki
http://www.wikidata.org/entity/Q107859307,Alkubus
http://www.wikidata.org/entity/Q1125542,Allerheiligenstriezel
http://www.wikidata.org/entity/Q4733868,Almogrote
http://www.wikidata.org/entity/Q16489253,Aluwa
http://www.wikidata.org/entity/Q107449428,Amala
http://www.wikidata.org/entity/Q4741197,Ambelopoulia
http://www.wikidata.org/entity/Q4742021,ambuyat
http://www.wikidata.org/entity/Q17003794,Amiedi
http://www.wikidata.org/entity/Q2843608,Amlu
http://www.wikidata.org/entity/Q1257791,ampyang
http://www.wikidata.org/entity/Q4751737,Anarsa
http://www.wikidata.org/entity/Q11164,andouillette
http://www.wikidata.org/entity/Q4763841,Angoori
http://www.wikidata.org/entity/Q716622,anju
http://www.wikidata.org/entity/Q11258884,Anmaki
http://www.wikidata.org/entity/Q575069,Antidoron
http://www.wikidata.org/entity/Q4779197,Apas
http://www.wikidata.org/entity/Q21503823,Apohtin
http://www.wikidata.org/entity/Q2548021,Appam
http://www.wikidata.org/entity/Q60744242,Aprapransa
http://www.wikidata.org/entity/Q4784160,Aranygaluska
http://www.wikidata.org/entity/Q65249937,arayes
http://www.wikidata.org/entity/Q11113287,arem-arem
http://www.wikidata.org/entity/Q6121896,Arengada
http://www.wikidata.org/entity/Q642702,Arepa
http://www.wikidata.org/entity/Q4790900,Ariselu
http://www.wikidata.org/entity/Q4795696,Arpacaş
http://www.wikidata.org/entity/Q16494100,arrumadinho
http://www.wikidata.org/entity/Q12836062,Arzuman
http://www.wikidata.org/entity/Q4804546,Asham
http://www.wikidata.org/entity/Q4807486,Asocena
http://www.wikidata.org/entity/Q837480,aspic
http://www.wikidata.org/entity/Q107840465,Asun
http://www.wikidata.org/entity/Q61075818,atom
http://www.wikidata.org/entity/Q4818118,Attar
http://www.wikidata.org/entity/Q4822751,aush
http://www.wikidata.org/entity/Q1863568,Avgolemono
http://www.wikidata.org/entity/Q16245233,Awameh
http://www.wikidata.org/entity/Q4830160,Awwamaat
http://www.wikidata.org/entity/Q6018744,şambali
http://www.wikidata.org/entity/Q4822264,şehriye
http://www.wikidata.org/entity/Q4823701,şekerpare
http://www.wikidata.org/entity/Q5004791,Bánh
http://www.wikidata.org/entity/Q6006788,büryan
http://www.wikidata.org/entity/Q50317973,Baati
http://www.wikidata.org/entity/Q797734,baba
http://www.wikidata.org/entity/Q43768843,Babarsa
http://www.wikidata.org/entity/Q797734,Babka
http://www.wikidata.org/entity/Q798459,Backmalz
http://www.wikidata.org/entity/Q4839955,Bacone
