,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"To everyone 's surprise , Aenarion took another wife , the strange , mysterious and beautiful seeress Morathi whom he had rescued from a [MASK] of Slaanesh worshippers .",No,No,Band,group,flock,gang,mob,crowd
1,He 's joined a growing [MASK] of young homeless in Oxfordshire .,No,No,Band,community,group,generation,colony,number
2,Special thanks were due to Chris Markham who had had overall responsibility for organising the day and her [MASK] of very efficient and hard-working helpers .,No,No,Band,team,selection,staff,support,network
3,Other miscellaneous missiles rained in on him as he clambered down from the improvised platform with the help of his small [MASK] of left-wing brothers .,No,No,Band,group,band,team,gang,platoon
4,He stalked off towards the camp 's edge where a huge [MASK] of his brothers waited .,No,No,Band,contingent,group,crowd,herd,number
5,"A divided Church , adding to the divisions in a divided land ; or a Church led by a [MASK] of brothers ( and sisters ) as a healing force ?",No,No,Band,group,congregation,multitude,community,band
6,In the execution of their duties the foresters often had to contend with armed [MASK] of desperate men ; in many cases they were beaten and even killed while attempting to arrest Forest offenders .,No,No,Bands,gangs,groups,attacks,forces,robbery
7,"He is accompanied by a [MASK] of men , presumably armed , and bears arrest warrants from the High Priest .",No,No,Band,troop,contingent,squad,group,gang
8,William Prime thanked Grimsdale politely and the small [MASK] of disappointed people walked dejectedly away .,No,No,Band,group,crowd,crowds,congregation,groups
9,"In the next years Studd and a small [MASK] of young people overcame difficulties to found a flourishing church , the start of a new pioneer mission , the Worldwide Evangelization Crusade ( 1919 ) .",No,No,Band,group,number,congregation,community,contingent
10,Every evening throughout 1922 a [MASK] of youths from the colony volunteered to guard the local stretch of the main road into Poltava .,No,No,Band,group,contingent,number,detachment,team
11,"The layout is owned by Alistair Kerr and assisted by a small [MASK] of volunteer workers , ranging in age groups between 10 and 20 .",No,No,Band,number,group,contingent,community,team
12,"The [MASK] of volunteers rallied willingly at Edith 's command , and though her residency was comparatively short , her influence was great .",No,No,Bands,majority,handful,thousands,number,corps
13,"Then with slow deliberation they walked on , their spades clasped to them , as if they were a [MASK] of ancient warriors .",No,No,Band,pair,group,pack,race,procession
14,"We seized our weapons and ran to Kilgrimol , and out of the Treasure House came a [MASK] of warrior women , bearing Undry .",No,No,Band,procession,group,crowd,pair,multitude
15,A [MASK] of British women truck drivers from the Royal Corps of Transport are ferrying supplies to the front line along treacherous mountainous dirt tracks .,No,No,Band,group,contingent,number,handful,platoon
16,"Together the [MASK] of women wailed and sang out , beating cymbals and drums .",No,No,Band,chorus,crowd,voices,crowds,majority
17,"Most of the graves were of infants and children , but there were also several dating from the Mutiny when a gallant [MASK] of British officers had died defending their women and children .",No,No,Band,detachment,number,contingent,group,troop
18,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own "" [MASK] "" of ringers , who would herald every Sunday morning and evening service .",No,No,Band,ring,choir,corps,procession,chorus
19,""" Ringing does become a bit of an obsession , '' admits Stephanie Pattenden , master of the [MASK] at St. Mary Abbot and one of England 's best female ringers .",No,No,Band,rings,ring,bells,ceremonies,ropes
