,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more <mask>, nut or bolt?",Yes,Yes,length,length,width,breadth,reach,height
1,"Which is wider, and thus has more <mask>, bed or chair?",Yes,Yes,width,width,breadth,length,rainfall,room
2,"Rock is heavier, thus has a higher <mask>.",Yes,Yes,weight,weight,,,weigh,height
3,"Which is more nutritious, and thus more <mask>, burger or green vegetables?",Yes,Yes,healthy,healthy,nutritious,humid,healthier,fit
4,"Which is more denser, and thus has a higher <mask>, oil or water?",No,Yes,density,rainfall,humidity,density,width,volume
5,"Which is faster, and thus has a higher <mask>, a cheetah or a turtle?",Yes,Yes,speed,speed,rainfall,width,length,altitude
6,"Which is cooler, and thus has a lower <mask>, ice or water?",No,Yes,temperature,rainfall,humidity,temperature,humid,altitude
7,"We need the BMI to determine who is <mask>, John Adams or Bill Clinton.",No,Yes,healthy,more,healthy,better,healthier,nutritious
8,"We need the altitude to determine which is <mask>, Mt. Everest or Mt. Fuji.",No,Yes,higher,more,wider,better,higher,healthy
9,"Which has more protein, and thus more <mask>, chicken or potato?",Yes,Yes,healthy,healthy,nutritious,humid,robust,ealthy
10,"Which has less sugar, and is thus more <mask>, pepsi or beetroot?",Yes,Yes,healthy,healthy,nutritious,humid,nutritional,desirable
11,"Which is taller and thus has more <mask>, Eiffel Tower or Burj Khalifa?",No,Yes,height,width,length,height,rainfall,breadth
12,"What’s wider, and thus has a higher <mask>, table or chair?",Yes,Yes,width,width,rainfall,shelf,length,height
13,"Which is more nutritious, and thus more <mask>, cheese or candies?",Yes,Yes,healthy,healthy,nutritious,humid,healthier,robust
14,"Which is more nutritious, and thus more <mask>, soup or chocolates?",Yes,Yes,healthy,healthy,nutritious,healthier,humid,fit
15,"We need the height to determine who is <mask>, Dwight D. Eisenhower or Bill Clinton",No,Yes,taller,more,wider,taller,healthy,longer
16,"What’s hotter, and thus has a higher <mask> London or Berlin?",No,Yes,temperature,,humidity,rainfall,humid,temperature
17,"What’s humid and thus has a higher <mask>, London or Berlin?",Yes,Yes,rainfall,rainfall,humidity,humid,precipitation,temperature
18,"This road is wider, thus it has more <mask>.",Yes,Yes,width,width,length,Width,breadth,rainfall
19,People of <mask> 55 or older should consult their physician.,No,No,age,more,course,average,origin,about
20,"Which is more humid and thus has a higher <mask>, New Delhi or Berlin?",Yes,Yes,rainfall,rainfall,humidity,humid,temperature,precipitation
21,"Which is heavier and thus has a higher <mask>, iron or plasic?",No,Yes,weight,rainfall,density,humidity,width,weight
22,"Which is heavier and thus has a higher <mask>, rock or paper?",No,Yes,weight,rainfall,density,humidity,width,weight
