,Masked Sentence,Prediction
0,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Arredo camera da letto
","seats, possibilities, inhabitants, depth, branches"
1,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Augsburg Art Cabinet
","inhabitants, branches, possibilities, facilities, subdivisions"
2,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Baú de viagem
","inhabitants, branches, beaches, tributaries, streets"
3,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Bahut-étagère la berce des près
","inhabitants, subdivisions, branches, beaches, suburbs"
4,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or bonsai display table
","screens, seats, options, seating, displays"
5,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Box with Military Scenes from Antiquity
","characteristics, possibilities, dimensions, diversity, depth"
6,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cabide de Pé
","inhabitants, beaches, branches, subdivisions, streets"
7,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cabinet on stand
","seats, facilities, seating, amenities, options"
8,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cadeira furada feminina
","beaches, branches, inhabitants, vegetation, tributaries"
9,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cadeira furada masculina
","beaches, inhabitants, branches, tributaries, vegetation"
10,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Candle Bracket Pair
","branches, inhabitants, tributaries, beaches, possibilities"
11,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914
","decoration, furniture, dimensions, detail, ornaments"
12,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cassone from the Colonna family
","relatives, varieties, variety, species, branches"
13,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cassone with Mannerist Design Elements
","flexibility, variety, branches, depth, inhabitants"
14,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Chair or Bed Leg with the God Bes
","branches, inhabitants, possibilities, similarities, options"
15,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Chest of Drawers
","inhabitants, branches, variety, beaches, characteristics"
16,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Classic Chinese furniture
","furniture, decoration, ornate, elaborate, luxurious"
17,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Commode à vantaux
","inhabitants, branches, dimensions, subdivisions, curves"
18,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Confidant from the Batlló House
","autonomy, members, followers, supporters, inhabitants"
19,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Console Table Depicting Chronos, or Father Time
","dimensions, possibilities, flexibility, options, layers"
20,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Console Table Top
","inhabitants, branches, possibilities, subdivisions, tributaries"
21,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Daffodil Table Lamp
","branches, inhabitants, varieties, tributaries, vegetation"
22,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Desk and Bookcase
","branches, possibilities, options, flexibility, dimensions"
23,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Door and Frame
","inhabitants, branches, streets, tributaries, entrances"
24,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Door to Gothic Marriage Chest
","branches, depth, possibilities, flexibility, characteristics"
25,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Doorway from the Isaac Gillet House, Painesville, Ohio
","access, entrances, views, exits, accessible"
26,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Eames Storage Unit
","facilities, branches, capacity, flexibility, options"
27,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or entrance desk S.M.A.K. Gent
","classrooms, facilities, rooms, offices, seats"
28,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Fire Screen and Textile Panels
","flexibility, options, facilities, branches, layers"
29,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre
","monuments, significance, inscriptions, importance, entries"
30,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Gothic Marriage Chest
","branches, inhabitants, possibilities, depth, characteristics"
31,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Gothic Marriage Chest
","branches, inhabitants, possibilities, depth, characteristics"
32,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or High chest of drawers
","drawers, spacious, rooms, doors, room"
33,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Leito de casal
","beaches, inhabitants, streets, branches, tributaries"
34,"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Liège-Aachen Baroque furniture
","ornate, elaborate, decoration, spacious, modern"
