,Masked Sentence,Prediction
0,"Which is wider, and thus has more [MASK], Étagère or accoudoir
","curves, flexibility, edges, rounded, depth"
1,"Which is wider, and thus has more [MASK], Étagère or Andiron
","curves, subdivisions, squares, varieties, branches"
2,"Which is wider, and thus has more [MASK], Étagère or Arca
","curves, subdivisions, branches, flexibility, edges"
3,"Which is wider, and thus has more [MASK], Étagère or arcaz
","curves, edges, flexibility, squares, depth"
4,"Which is wider, and thus has more [MASK], Étagère or Argolas
","curves, squares, subdivisions, streets, branches"
5,"Which is wider, and thus has more [MASK], Étagère or Armário
","subdivisions, squares, streets, curves, flexibility"
6,"Which is wider, and thus has more [MASK], Étagère or Armchair
","curves, flexibility, edges, rounded, squares"
7,"Which is wider, and thus has more [MASK], Étagère or armrest
","flexibility, curves, sleeves, armour, legs"
8,"Which is wider, and thus has more [MASK], Étagère or Athénienne
","subdivisions, inhabitants, curves, varieties, variety"
9,"Which is wider, and thus has more [MASK], Étagère or Baú
","curves, edges, squares, subdivisions, pronounced"
10,"Which is wider, and thus has more [MASK], Étagère or bank
","shops, branches, subdivisions, streets, stores"
11,"Which is wider, and thus has more [MASK], Étagère or bed
","curves, depth, room, flexibility, rooms"
12,"Which is wider, and thus has more [MASK], Étagère or bier
","curves, edges, pronounced, squares, bends"
13,"Which is wider, and thus has more [MASK], Étagère or binder
","flexibility, flexible, edges, handles, holes"
14,"Which is wider, and thus has more [MASK], Étagère or bonnetière
","curves, skirts, rounded, decoration, sleeves"
15,"Which is wider, and thus has more [MASK], Étagère or Bookcase
","curves, flexibility, rounded, pronounced, squares"
16,"Which is wider, and thus has more [MASK], Étagère or Cômoda
","curves, flexibility, edges, branches, subdivisions"
17,"Which is wider, and thus has more [MASK], Étagère or Cômoda-Lavatório
","subdivisions, streets, branches, inhabitants, squares"
18,"Which is wider, and thus has more [MASK], Étagère or Cabide
","flexibility, curves, edges, depth, squares"
19,"Which is wider, and thus has more [MASK], Étagère or Cabinet
","curves, flexibility, edges, pronounced, squares"
20,"Which is wider, and thus has more [MASK], Étagère or cabinet-library
","furniture, rooms, elaborate, spacious, libraries"
21,"Which is wider, and thus has more [MASK], Étagère or cabinetry
","furniture, rooms, shops, decoration, room"
22,"Which is wider, and thus has more [MASK], Étagère or Cabinet-vitrine
","flexibility, pronounced, variety, flexible, varieties"
23,"Which is wider, and thus has more [MASK], Étagère or Cama
","curves, subdivisions, edges, branches, flexibility"
24,"Which is wider, and thus has more [MASK], Étagère or Candelabrum
","branches, curves, squares, dimensions, flexibility"
25,"Which is wider, and thus has more [MASK], Étagère or Candlestick
","curves, flexibility, holes, squares, branches"
26,"Which is wider, and thus has more [MASK], Étagère or Candlesticks
","holes, squares, rounded, elaborate, ornaments"
27,"Which is wider, and thus has more [MASK], Étagère or caning
","flexibility, curves, variation, edges, depth"
28,"Which is wider, and thus has more [MASK], Étagère or canterbury
","streets, subdivisions, curves, squares, branches"
29,"Which is wider, and thus has more [MASK], Étagère or Casket
","curves, flexibility, varieties, variety, subdivisions"
30,"Which is wider, and thus has more [MASK], Étagère or Cellarette
","rooms, restaurants, shops, streets, subdivisions"
31,"Which is wider, and thus has more [MASK], Étagère or chair
","seats, seating, chairs, flexibility, curves"
32,"Which is wider, and thus has more [MASK], Étagère or chest
","rounded, curves, width, pronounced, sides"
33,"Which is wider, and thus has more [MASK], Étagère or chesterfield
","curves, streets, subdivisions, bays, seats"
34,"Which is wider, and thus has more [MASK], Étagère or Chest-on-Chest
","pronounced, curves, squares, narrow, rounded"
35,"Which is wider, and thus has more [MASK], Étagère or chifforobe
","curves, variety, flexibility, pronounced, varieties"
36,"Which is wider, and thus has more [MASK], Étagère or chigaidana
","curves, flexibility, branches, vowels, edges"
37,"Which is wider, and thus has more [MASK], Étagère or Clock
","curves, flexibility, edges, squares, pronounced"
38,"Which is wider, and thus has more [MASK], Étagère or closet
","curves, flexibility, edges, depth, squares"
39,"Which is wider, and thus has more [MASK], Étagère or closet-showcase
","elaborate, compact, flexible, flexibility, spacious"
40,"Which is wider, and thus has more [MASK], Étagère or coffin
","curves, edges, rounded, flexibility, squares"
41,"Which is wider, and thus has more [MASK], Étagère or Cofre
","curves, subdivisions, edges, dimensions, squares"
42,"Which is wider, and thus has more [MASK], Étagère or Commode
","curves, flexibility, dimensions, edges, symmetry"
43,"Which is wider, and thus has more [MASK], Étagère or conversadeira
","subdivisions, flexibility, branches, squares, clubs"
44,"Which is wider, and thus has more [MASK], Étagère or couch
","curves, flexibility, edges, squares, depth"
45,"Which is wider, and thus has more [MASK], Étagère or counter
","curves, edges, flexibility, squares, rounded"
46,"Which is wider, and thus has more [MASK], Étagère or countertop
","rounded, squares, square, curves, flexibility"
47,"Which is wider, and thus has more [MASK], Étagère or Cupboard
","flexibility, rounded, depth, curves, fins"
48,"Which is wider, and thus has more [MASK], Étagère or desk
","curves, flexibility, edges, rounded, squares"
49,"Which is wider, and thus has more [MASK], Étagère or Dossel
","curves, edges, squares, dimensions, flexibility"
50,"Which is wider, and thus has more [MASK], Étagère or Dressers
","curves, subdivisions, squares, bends, varieties"
51,"Which is wider, and thus has more [MASK], Étagère or duchess
","subdivisions, variations, curves, balls, variants"
52,"Which is wider, and thus has more [MASK], Étagère or Enzi
","curves, flexibility, edges, subdivisions, variation"
53,"Which is wider, and thus has more [MASK], Étagère or Escrivaninha
","curves, subdivisions, squares, branches, streets"
54,"Which is wider, and thus has more [MASK], Étagère or Estalo
","curves, subdivisions, squares, pronounced, flexibility"
55,"Which is wider, and thus has more [MASK], Étagère or Estante
","curves, subdivisions, edges, dimensions, flexibility"
56,"Which is wider, and thus has more [MASK], Étagère or Estrado
","curves, subdivisions, squares, flexibility, streets"
57,"Which is wider, and thus has more [MASK], Étagère or Faux-palier
","subdivisions, curves, squares, streets, edges"
58,"Which is wider, and thus has more [MASK], Étagère or footstool
","flexibility, curves, depth, rounded, pronounced"
59,"Which is wider, and thus has more [MASK], Étagère or Four
","curves, edges, flexibility, pronounced, depth"
60,"Which is wider, and thus has more [MASK], Étagère or futon
","curves, rounded, pronounced, flexibility, squares"
61,"Which is wider, and thus has more [MASK], Étagère or haberdasher
","curves, edges, flexibility, squares, subdivisions"
62,"Which is wider, and thus has more [MASK], Étagère or hanger
","flexibility, rope, curves, sleeves, space"
63,"Which is wider, and thus has more [MASK], Étagère or Hatstand
","curves, flexibility, edges, squares, pronounced"
64,"Which is wider, and thus has more [MASK], Étagère or headrest
","rounded, fur, width, hair, sleeves"
65,"Which is wider, and thus has more [MASK], Étagère or Highboy
","curves, pronounced, edges, rounded, flexibility"
66,"Which is wider, and thus has more [MASK], Étagère or hutch
","holes, curves, rounded, branches, rooms"
67,"Which is wider, and thus has more [MASK], Étagère or icebox
","flexibility, room, holes, seating, seats"
68,"Which is wider, and thus has more [MASK], Étagère or Kari
","curves, subdivisions, edges, squares, varieties"
69,"Which is wider, and thus has more [MASK], Étagère or kast
","curves, flexibility, pronounced, edges, vowels"
70,"Which is wider, and thus has more [MASK], Étagère or Lamp
","curves, edges, flexibility, pronounced, squares"
71,"Which is wider, and thus has more [MASK], Étagère or lamp
","aperture, curves, light, depth, edges"
72,"Which is wider, and thus has more [MASK], Étagère or lectern
","seats, seating, windows, columns, spaces"
73,"Which is wider, and thus has more [MASK], Étagère or Leito
","curves, squares, flexibility, edges, subdivisions"
74,"Which is wider, and thus has more [MASK], Étagère or Loveseat
","curves, pronounced, flexibility, edges, depth"
75,"Which is wider, and thus has more [MASK], Étagère or Maçaneta
","curves, subdivisions, branches, flexibility, squares"
76,"Which is wider, and thus has more [MASK], Étagère or Mantel
","curves, subdivisions, flexibility, streets, squares"
77,"Which is wider, and thus has more [MASK], Étagère or medalist
","curves, squares, flexibility, edges, pronounced"
78,"Which is wider, and thus has more [MASK], Étagère or Mesa
","curves, flexibility, edges, squares, pronounced"
79,"Which is wider, and thus has more [MASK], Étagère or mirror
","curves, aperture, edges, symmetry, rounded"
80,"Which is wider, and thus has more [MASK], Étagère or office
","shops, departments, rooms, offices, restaurants"
81,"Which is wider, and thus has more [MASK], Étagère or Oonjal
","curves, subdivisions, inhabitants, squares, pronounced"
82,"Which is wider, and thus has more [MASK], Étagère or Pedestal
","curves, rounded, squares, flexibility, edges"
83,"Which is wider, and thus has more [MASK], Étagère or Pinos
","curves, squares, subdivisions, edges, branches"
84,"Which is wider, and thus has more [MASK], Étagère or playpen
","flexibility, variety, variation, depth, players"
85,"Which is wider, and thus has more [MASK], Étagère or Prendedores
","curves, subdivisions, squares, branches, edges"
86,"Which is wider, and thus has more [MASK], Étagère or psyche
","depth, flexibility, complexity, personality, dimensions"
87,"Which is wider, and thus has more [MASK], Étagère or radiogram
","aperture, sensitivity, contrast, wavelength, light"
88,"Which is wider, and thus has more [MASK], Étagère or Rahle
","curves, subdivisions, edges, pronounced, squares"
89,"Which is wider, and thus has more [MASK], Étagère or Screen
","curves, flexibility, pronounced, edges, depth"
90,"Which is wider, and thus has more [MASK], Étagère or Screen
","curves, flexibility, pronounced, edges, depth"
91,"Which is wider, and thus has more [MASK], Étagère or seat
","seats, room, seating, flexibility, space"
92,"Which is wider, and thus has more [MASK], Étagère or Seating
","flexibility, curves, pronounced, edges, depth"
93,"Which is wider, and thus has more [MASK], Étagère or Secretary
","curves, flexibility, edges, pronounced, squares"
94,"Which is wider, and thus has more [MASK], Étagère or Secretary-bookcase
","pages, compact, rounded, flexible, expensive"
95,"Which is wider, and thus has more [MASK], Étagère or Settee
","curves, flexibility, edges, squares, dimensions"
96,"Which is wider, and thus has more [MASK], Étagère or shelf
","depth, flexibility, curves, rounded, width"
97,"Which is wider, and thus has more [MASK], Étagère or Sideboard
","flexibility, depth, curves, rounded, fins"
98,"Which is wider, and thus has more [MASK], Étagère or Sofa
","curves, flexibility, edges, subdivisions, pronounced"
99,"Which is wider, and thus has more [MASK], Étagère or spalliera
","curves, subdivisions, branches, squares, streets"
100,"Which is wider, and thus has more [MASK], Étagère or stand
","curves, flexibility, height, depth, edges"
101,"Which is wider, and thus has more [MASK], Étagère or Stool
","curves, edges, flexibility, pronounced, vertices"
102,"Which is wider, and thus has more [MASK], Étagère or Tủ
","curves, edges, flexibility, pronounced, squares"
103,"Which is wider, and thus has more [MASK], Étagère or Tête-à-tête
","subdivisions, curves, pronounced, streets, branches"
104,"Which is wider, and thus has more [MASK], Étagère or table
","curves, squares, edges, dimensions, detail"
105,"Which is wider, and thus has more [MASK], Étagère or Tapchan
","curves, edges, flexibility, pronounced, squares"
106,"Which is wider, and thus has more [MASK], Étagère or Trapeza
","curves, squares, flexibility, edges, branches"
107,"Which is wider, and thus has more [MASK], Étagère or tripod
","rounded, curves, holes, edges, aperture"
108,"Which is wider, and thus has more [MASK], Étagère or Vitrina
","curves, flexibility, subdivisions, depth, dimensions"
109,"Which is wider, and thus has more [MASK], Étagère or vitrine
","flexibility, fibers, curves, variety, pronounced"
110,"Which is wider, and thus has more [MASK], Étagère or Voyeuse
","curves, subdivisions, variety, squares, branches"
111,"Which is wider, and thus has more [MASK], Étagère or Wardrobe
","curves, flexibility, edges, squares, pronounced"
112,"Which is wider, and thus has more [MASK], Étagère or washstand
","windows, decoration, rooms, room, toilets"
113,"Which is wider, and thus has more [MASK], accoudoir or Étagère
","flexibility, decoration, pronounced, variety, curves"
114,"Which is wider, and thus has more [MASK], accoudoir or Andiron
","flexibility, curves, branches, depth, edges"
115,"Which is wider, and thus has more [MASK], accoudoir or Arca
","flexibility, seats, branches, depth, curves"
116,"Which is wider, and thus has more [MASK], accoudoir or arcaz
","flexibility, depth, edges, curves, width"
117,"Which is wider, and thus has more [MASK], accoudoir or Argolas
","branches, seats, bays, rooms, flexibility"
118,"Which is wider, and thus has more [MASK], accoudoir or Armário
","seats, seating, flexibility, room, rooms"
119,"Which is wider, and thus has more [MASK], accoudoir or Armchair
","flexibility, seating, seats, rounded, room"
120,"Which is wider, and thus has more [MASK], accoudoir or armrest
","armour, arms, flexibility, legs, sleeves"
121,"Which is wider, and thus has more [MASK], accoudoir or Athénienne
","difficulty, flexibility, variety, variation, subdivisions"
122,"Which is wider, and thus has more [MASK], accoudoir or Baú
","flexibility, seating, seats, rounded, curves"
123,"Which is wider, and thus has more [MASK], accoudoir or bank
","room, rooms, shops, lanes, seating"
124,"Which is wider, and thus has more [MASK], accoudoir or bed
","room, space, seating, rooms, depth"
125,"Which is wider, and thus has more [MASK], accoudoir or bier
","curves, edges, flexibility, rounded, width"
126,"Which is wider, and thus has more [MASK], accoudoir or binder
","flexibility, flexible, binding, fluid, edges"
127,"Which is wider, and thus has more [MASK], accoudoir or bonnetière
","curves, sleeves, rounded, skirts, hair"
128,"Which is wider, and thus has more [MASK], accoudoir or Bookcase
","rounded, flexibility, width, space, depth"
129,"Which is wider, and thus has more [MASK], accoudoir or Cômoda
","flexibility, depth, branches, curves, edges"
130,"Which is wider, and thus has more [MASK], accoudoir or Cômoda-Lavatório
","branches, flexibility, seats, streets, subdivisions"
131,"Which is wider, and thus has more [MASK], accoudoir or Cabide
","flexibility, depth, flexible, edges, diameter"
132,"Which is wider, and thus has more [MASK], accoudoir or Cabinet
","flexibility, rounded, seating, room, depth"
133,"Which is wider, and thus has more [MASK], accoudoir or cabinet-library
","room, rooms, library, classrooms, furniture"
134,"Which is wider, and thus has more [MASK], accoudoir or cabinetry
","furniture, room, rooms, interior, offices"
135,"Which is wider, and thus has more [MASK], accoudoir or Cabinet-vitrine
","potent, soluble, flexibility, flexible, fluid"
136,"Which is wider, and thus has more [MASK], accoudoir or Cama
","flexibility, seats, branches, curves, depth"
137,"Which is wider, and thus has more [MASK], accoudoir or Candelabrum
","branches, flexibility, horns, foliage, depth"
138,"Which is wider, and thus has more [MASK], accoudoir or Candlestick
","flexibility, seating, branches, seats, holes"
139,"Which is wider, and thus has more [MASK], accoudoir or Candlesticks
","seats, holes, handles, seating, arches"
140,"Which is wider, and thus has more [MASK], accoudoir or caning
","flexibility, seating, depth, room, seats"
141,"Which is wider, and thus has more [MASK], accoudoir or canterbury
","seating, seats, flexibility, room, rounded"
142,"Which is wider, and thus has more [MASK], accoudoir or Casket
","flexibility, seating, depth, room, seats"
143,"Which is wider, and thus has more [MASK], accoudoir or Cellarette
","rooms, seating, room, seats, flexibility"
144,"Which is wider, and thus has more [MASK], accoudoir or chair
","seating, seats, room, seat, space"
145,"Which is wider, and thus has more [MASK], accoudoir or chest
","rounded, chest, sides, width, height"
146,"Which is wider, and thus has more [MASK], accoudoir or chesterfield
","seating, seats, room, flexibility, depth"
147,"Which is wider, and thus has more [MASK], accoudoir or Chest-on-Chest
","pronounced, rounded, flexibility, convenient, depth"
148,"Which is wider, and thus has more [MASK], accoudoir or chifforobe
","flexibility, hair, variety, curves, fur"
149,"Which is wider, and thus has more [MASK], accoudoir or chigaidana
","flexibility, depth, curves, branches, rounded"
150,"Which is wider, and thus has more [MASK], accoudoir or Clock
","flexibility, rounded, seating, room, depth"
151,"Which is wider, and thus has more [MASK], accoudoir or closet
","room, flexibility, space, seating, depth"
152,"Which is wider, and thus has more [MASK], accoudoir or closet-showcase
","room, seating, flexibility, spacious, rooms"
153,"Which is wider, and thus has more [MASK], accoudoir or coffin
","seating, room, seats, rounded, space"
154,"Which is wider, and thus has more [MASK], accoudoir or Cofre
","flexibility, depth, room, curves, seats"
155,"Which is wider, and thus has more [MASK], accoudoir or Commode
","flexibility, aperture, depth, diameter, flexible"
156,"Which is wider, and thus has more [MASK], accoudoir or conversadeira
","flexibility, depth, seats, options, branches"
157,"Which is wider, and thus has more [MASK], accoudoir or couch
","flexibility, room, seating, seats, rounded"
158,"Which is wider, and thus has more [MASK], accoudoir or counter
","flexibility, depth, rounded, width, square"
159,"Which is wider, and thus has more [MASK], accoudoir or countertop
","rounded, square, flexibility, height, depth"
160,"Which is wider, and thus has more [MASK], accoudoir or Cupboard
","seating, flexibility, seats, depth, rounded"
161,"Which is wider, and thus has more [MASK], accoudoir or desk
","room, seating, seats, space, flexibility"
162,"Which is wider, and thus has more [MASK], accoudoir or Dossel
","flexibility, curves, edges, rounded, depth"
163,"Which is wider, and thus has more [MASK], accoudoir or Dressers
","seats, seating, flexibility, rooms, curves"
164,"Which is wider, and thus has more [MASK], accoudoir or duchess
","consort, baggage, dignity, nobility, armour"
165,"Which is wider, and thus has more [MASK], accoudoir or Enzi
","flexibility, seats, seating, options, difficulty"
166,"Which is wider, and thus has more [MASK], accoudoir or Escrivaninha
","depth, flexibility, branches, seats, difficulty"
167,"Which is wider, and thus has more [MASK], accoudoir or Estalo
","flexibility, depth, curves, seats, seating"
168,"Which is wider, and thus has more [MASK], accoudoir or Estante
","flexibility, depth, curves, branches, edges"
169,"Which is wider, and thus has more [MASK], accoudoir or Estrado
","flexibility, seating, seats, depth, room"
170,"Which is wider, and thus has more [MASK], accoudoir or Faux-palier
","curves, flexibility, than, room, branches"
171,"Which is wider, and thus has more [MASK], accoudoir or footstool
","flexibility, seating, room, depth, space"
172,"Which is wider, and thus has more [MASK], accoudoir or Four
","rounded, flexibility, depth, width, height"
173,"Which is wider, and thus has more [MASK], accoudoir or futon
","flexibility, rounded, square, space, width"
174,"Which is wider, and thus has more [MASK], accoudoir or haberdasher
","flexibility, edges, depth, variation, branches"
175,"Which is wider, and thus has more [MASK], accoudoir or hanger
","rope, flexibility, seating, seats, room"
176,"Which is wider, and thus has more [MASK], accoudoir or Hatstand
","flexibility, seating, seats, room, depth"
177,"Which is wider, and thus has more [MASK], accoudoir or headrest
","armour, fur, saddle, hair, head"
178,"Which is wider, and thus has more [MASK], accoudoir or Highboy
","flexibility, seating, rounded, seats, depth"
179,"Which is wider, and thus has more [MASK], accoudoir or hutch
","room, holes, rooms, depth, space"
180,"Which is wider, and thus has more [MASK], accoudoir or icebox
","seating, room, flexibility, seats, storage"
181,"Which is wider, and thus has more [MASK], accoudoir or Kari
","flexibility, seats, depth, seating, armour"
182,"Which is wider, and thus has more [MASK], accoudoir or kast
","flexibility, depth, difficulty, seats, armour"
183,"Which is wider, and thus has more [MASK], accoudoir or Lamp
","flexibility, depth, curves, rounded, edges"
184,"Which is wider, and thus has more [MASK], accoudoir or lamp
","aperture, light, room, depth, windows"
185,"Which is wider, and thus has more [MASK], accoudoir or lectern
","seating, seats, windows, space, pulpit"
186,"Which is wider, and thus has more [MASK], accoudoir or Leito
","flexibility, seats, seating, depth, curves"
187,"Which is wider, and thus has more [MASK], accoudoir or Loveseat
","flexibility, depth, rounded, space, height"
188,"Which is wider, and thus has more [MASK], accoudoir or Maçaneta
","flexibility, depth, seats, branches, seating"
189,"Which is wider, and thus has more [MASK], accoudoir or Mantel
","flexibility, room, rooms, seating, armour"
190,"Which is wider, and thus has more [MASK], accoudoir or medalist
","flexibility, rounded, room, seating, seats"
191,"Which is wider, and thus has more [MASK], accoudoir or Mesa
","flexibility, rounded, seating, room, seats"
192,"Which is wider, and thus has more [MASK], accoudoir or mirror
","aperture, rounded, room, windows, hair"
193,"Which is wider, and thus has more [MASK], accoudoir or office
","room, rooms, offices, accommodation, seats"
194,"Which is wider, and thus has more [MASK], accoudoir or Oonjal
","flexibility, branches, difficulty, pronounced, depth"
195,"Which is wider, and thus has more [MASK], accoudoir or Pedestal
","rounded, height, square, seating, flexibility"
196,"Which is wider, and thus has more [MASK], accoudoir or Pinos
","flexibility, depth, branches, room, seats"
197,"Which is wider, and thus has more [MASK], accoudoir or playpen
","flexibility, seating, depth, room, difficulty"
198,"Which is wider, and thus has more [MASK], accoudoir or Prendedores
","branches, flexibility, depth, seats, rounded"
199,"Which is wider, and thus has more [MASK], accoudoir or psyche
","depth, flexibility, complexity, personality, difficulty"
200,"Which is wider, and thus has more [MASK], accoudoir or radiogram
","aperture, light, depth, antenna, contrast"
201,"Which is wider, and thus has more [MASK], accoudoir or Rahle
","flexibility, depth, branches, difficulty, edges"
202,"Which is wider, and thus has more [MASK], accoudoir or Screen
","flexibility, rounded, depth, room, seating"
203,"Which is wider, and thus has more [MASK], accoudoir or Screen
","flexibility, rounded, depth, room, seating"
204,"Which is wider, and thus has more [MASK], accoudoir or seat
","seating, seats, room, seat, space"
205,"Which is wider, and thus has more [MASK], accoudoir or Seating
","flexibility, depth, seating, rounded, room"
206,"Which is wider, and thus has more [MASK], accoudoir or Secretary
","flexibility, rounded, room, depth, seating"
207,"Which is wider, and thus has more [MASK], accoudoir or Secretary-bookcase
","flexibility, pages, compact, convenient, room"
208,"Which is wider, and thus has more [MASK], accoudoir or Settee
","flexibility, seating, armour, seats, depth"
209,"Which is wider, and thus has more [MASK], accoudoir or shelf
","space, depth, flexibility, room, rounded"
210,"Which is wider, and thus has more [MASK], accoudoir or Sideboard
","seating, flexibility, seats, depth, rounded"
211,"Which is wider, and thus has more [MASK], accoudoir or Sofa
","flexibility, seats, depth, room, seating"
212,"Which is wider, and thus has more [MASK], accoudoir or spalliera
","flexibility, curves, branches, depth, arches"
213,"Which is wider, and thus has more [MASK], accoudoir or stand
","height, seating, room, flexibility, depth"
214,"Which is wider, and thus has more [MASK], accoudoir or Stool
","flexibility, rounded, depth, curves, width"
215,"Which is wider, and thus has more [MASK], accoudoir or Tủ
","flexibility, rounded, curves, width, depth"
216,"Which is wider, and thus has more [MASK], accoudoir or Tête-à-tête
","narrow, pronounced, curves, depth, flexibility"
217,"Which is wider, and thus has more [MASK], accoudoir or table
","room, seating, seats, space, depth"
218,"Which is wider, and thus has more [MASK], accoudoir or Tapchan
","flexibility, depth, branches, edges, curves"
219,"Which is wider, and thus has more [MASK], accoudoir or Trapeza
","flexibility, curves, depth, seats, seating"
220,"Which is wider, and thus has more [MASK], accoudoir or tripod
","flexibility, rounded, aperture, flexible, diameter"
221,"Which is wider, and thus has more [MASK], accoudoir or Vitrina
","flexibility, depth, curves, room, width"
222,"Which is wider, and thus has more [MASK], accoudoir or vitrine
","fluid, flexibility, fat, protein, soluble"
223,"Which is wider, and thus has more [MASK], accoudoir or Voyeuse
","flexibility, depth, branches, variety, curves"
224,"Which is wider, and thus has more [MASK], accoudoir or Wardrobe
","flexibility, rounded, seating, room, space"
225,"Which is wider, and thus has more [MASK], accoudoir or washstand
","seating, room, windows, bathroom, toilets"
226,"Which is wider, and thus has more [MASK], Andiron or Étagère
","pronounced, curves, varieties, rounded, subdivisions"
227,"Which is wider, and thus has more [MASK], Andiron or accoudoir
","curves, rounded, edges, branches, flexibility"
228,"Which is wider, and thus has more [MASK], Andiron or Arca
","branches, curves, dimensions, edges, layers"
229,"Which is wider, and thus has more [MASK], Andiron or arcaz
","branches, edges, curves, rings, dimensions"
