item,itemLabel
http://www.wikidata.org/entity/Q68611228,1-2-3 block
http://www.wikidata.org/entity/Q3392302,90-45-45 set square
http://www.wikidata.org/entity/Q321800,Abkantwerkzeug
http://www.wikidata.org/entity/Q107196577,adastra
http://www.wikidata.org/entity/Q4685839,Adso
http://www.wikidata.org/entity/Q381188,AeroPress
http://www.wikidata.org/entity/Q3821542,agitator
http://www.wikidata.org/entity/Q3629395,agricultural tool
http://www.wikidata.org/entity/Q61755885,Agulheta
http://www.wikidata.org/entity/Q104730964,air regulator
http://www.wikidata.org/entity/Q297019,Ölgeber
http://www.wikidata.org/entity/Q61766176,Alicate
http://www.wikidata.org/entity/Q1126263,alidade
http://www.wikidata.org/entity/Q12818074,Andaza
http://www.wikidata.org/entity/Q61755099,animal equipment
http://www.wikidata.org/entity/Q104363,anvil
http://www.wikidata.org/entity/Q107196599,anvil blacksmith
http://www.wikidata.org/entity/Q4653135,AOHell
http://www.wikidata.org/entity/Q61765986,Aparelho
http://www.wikidata.org/entity/Q106512352,Apollo Lunar Surface Drill
http://www.wikidata.org/entity/Q107618380,applicator
http://www.wikidata.org/entity/Q107196595,aracapá
http://www.wikidata.org/entity/Q61764926,Arame
http://www.wikidata.org/entity/Q107196596,arch
http://www.wikidata.org/entity/Q60750253,Arched Sistrum
http://www.wikidata.org/entity/Q106206420,Arco de Pua com Catraca
http://www.wikidata.org/entity/Q106206422,Arco de Serra
http://www.wikidata.org/entity/Q107196654,arrow
http://www.wikidata.org/entity/Q107196607,articulated spade
http://www.wikidata.org/entity/Q107196694,artillery socket
http://www.wikidata.org/entity/Q99438543,assessment tool
http://www.wikidata.org/entity/Q29888707,attachment
http://www.wikidata.org/entity/Q11687035,autograf
http://www.wikidata.org/entity/Q645178,avalanche transceiver
http://www.wikidata.org/entity/Q12360078,Avardi
http://www.wikidata.org/entity/Q79475561,Ax Head
http://www.wikidata.org/entity/Q60755965,Axe
http://www.wikidata.org/entity/Q1529372,Baby walker
