,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"To everyone 's surprise , Aenarion took another wife , the strange , mysterious and beautiful seeress Morathi whom he had rescued from a <mask> of Slaanesh worshippers .",No,No,Band,group,cult,tribe,band,horde
1,He 's joined a growing <mask> of young homeless in Oxfordshire .,No,No,Band,number,list,group,trend,army
2,Special thanks were due to Chris Markham who had had overall responsibility for organising the day and her <mask> of very efficient and hard-working helpers .,No,No,Band,team,staff,group,crew,army
3,Other miscellaneous missiles rained in on him as he clambered down from the improvised platform with the help of his small <mask> of left-wing brothers .,No,No,Band,band,group,army,gang,circle
4,He stalked off towards the camp 's edge where a huge <mask> of his brothers waited .,No,No,Band,group,crowd,number,gathering,army
5,"A divided Church , adding to the divisions in a divided land ; or a Church led by a <mask> of brothers ( and sisters ) as a healing force ?",No,No,Band,community,band,group,team,body
6,In the execution of their duties the foresters often had to contend with armed <mask> of desperate men ; in many cases they were beaten and even killed while attempting to arrest Forest offenders .,No,No,Bands,gangs,bands,groups,mobs,militias
7,"He is accompanied by a <mask> of men , presumably armed , and bears arrest warrants from the High Priest .",No,No,Band,group,number,handful,team,couple
8,William Prime thanked Grimsdale politely and the small <mask> of disappointed people walked dejectedly away .,No,No,Band,group,crowd,number,gathering,party
9,"In the next years Studd and a small <mask> of young people overcame difficulties to found a flourishing church , the start of a new pioneer mission , the Worldwide Evangelization Crusade ( 1919 ) .",No,No,Band,group,team,number,band,circle
10,Every evening throughout 1922 a <mask> of youths from the colony volunteered to guard the local stretch of the main road into Poltava .,No,No,Band,group,number,handful,band,couple
11,"The layout is owned by Alistair Kerr and assisted by a small <mask> of volunteer workers , ranging in age groups between 10 and 20 .",No,No,Band,group,team,number,army,band
12,"The <mask> of volunteers rallied willingly at Edith 's command , and though her residency was comparatively short , her influence was great .",No,No,Bands,army,thousands,hundreds,mass,legion
13,"Then with slow deliberation they walked on , their spades clasped to them , as if they were a <mask> of ancient warriors .",No,No,Band,group,band,pair,team,tribe
14,"We seized our weapons and ran to Kilgrimol , and out of the Treasure House came a <mask> of warrior women , bearing Undry .",No,No,Band,group,band,troop,number,horde
15,A <mask> of British women truck drivers from the Royal Corps of Transport are ferrying supplies to the front line along treacherous mountainous dirt tracks .,No,No,Band,team,group,handful,squadron,crew
16,"Together the <mask> of women wailed and sang out , beating cymbals and drums .",No,No,Band,group,hundreds,thousands,crowd,band
17,"Most of the graves were of infants and children , but there were also several dating from the Mutiny when a gallant <mask> of British officers had died defending their women and children .",No,No,Band,number,group,contingent,band,minority
