,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more [MASK], nut or bolt?",Yes,Yes,length,length,weight,width,longer,strength
1,"Which is wider, and thus has more [MASK], bed or chair?",Yes,Yes,width,width,length,weight,height,space
2,"Rock is heavier, thus has a higher [MASK].",Yes,Yes,weight,weight,rainfall,density,mass,temperature
3,"Which is more nutritious, and thus more [MASK], burger or green vegetables?",Yes,Yes,healthy,healthy,sick,delicious,human,living
4,"Which is more denser, and thus has a higher [MASK], oil or water?",Yes,Yes,density,density,rainfall,weight,humidity,temperature
5,"Which is faster, and thus has a higher [MASK], a cheetah or a turtle?",Yes,Yes,speed,speed,velocity,weight,rainfall,difficulty
6,"Which is cooler, and thus has a lower [MASK], ice or water?",Yes,Yes,temperature,temperature,rainfall,humidity,weight,cost
7,"We need the BMI to determine who is [MASK], John Adams or Bill Clinton.",No,No,healthy,correct,missing,deaf,dead,coming
8,"We need the altitude to determine which is [MASK], Mt. Everest or Mt. Fuji.",Yes,Yes,higher,higher,humid,nearby,hotter,warmer
9,"Which has more protein, and thus more [MASK], chicken or potato?",Yes,Yes,healthy,healthy,humid,fresh,food,protein
10,"Which has less sugar, and is thus more [MASK], pepsi or beetroot?",Yes,Yes,healthy,healthy,popular,sweet,fresh,bitter
11,"Which is taller and thus has more [MASK], Eiffel Tower or Burj Khalifa?",No,Yes,height,rainfall,width,height,weight,mass
12,"What’s wider, and thus has a higher [MASK], table or chair?",Yes,Yes,width,width,length,weight,volume,dimension
13,"Which is more nutritious, and thus more [MASK], cheese or candies?",Yes,Yes,healthy,healthy,delicious,living,fresh,crisp
14,"Which is more nutritious, and thus more [MASK], soup or chocolates?",Yes,Yes,healthy,healthy,delicious,effective,balanced,good
15,"We need the height to determine who is [MASK], Dwight D. Eisenhower or Bill Clinton",Yes,Yes,taller,taller,tall,seated,correct,next
16,"What’s hotter, and thus has a higher [MASK] London or Berlin?",No,Yes,temperature,",",temperature,rainfall,humidity,heat
17,"What’s humid and thus has a higher [MASK], London or Berlin?",Yes,Yes,rainfall,rainfall,humidity,temperature,income,climate
18,"This road is wider, thus it has more [MASK].",Yes,Yes,width,width,length,traffic,rainfall,weight
19,People of [MASK] 55 or older should consult their physician.,Yes,Yes,age,age,ages,Age,aged,care
20,"Which is more humid and thus has a higher [MASK], New Delhi or Berlin?",Yes,Yes,rainfall,rainfall,humidity,temperature,precipitation,latitude
21,"Which is heavier and thus has a higher [MASK], iron or plasic?",Yes,Yes,weight,weight,mass,density,temperature,rainfall
22,"Which is heavier and thus has a higher [MASK], rock or paper?",Yes,Yes,weight,weight,rainfall,mass,density,hardness
23,"Which is cooler, and thus has a lower [MASK], sea or sand?",Yes,Yes,temperature,temperature,rainfall,humidity,climate,temperatures
24,"Which is cooler and thus has a lower [MASK], North Pole or Sahara Desert?",No,Yes,temperature,rainfall,temperature,humidity,latitude,elevation
25,"Which is longer, and thus has more [MASK], train or aeroplane?",Yes,Yes,length,length,weight,width,longer,mass
26,"Which is deeper, and thus has more [MASK], swimming pool or ocean?",Yes,Yes,depth,depth,rainfall,width,length,depths
27,"Which is deeper, and thus has more [MASK], oil well or water well?",Yes,Yes,depth,depth,rainfall,width,depths,deeper
28,"Which is louder, and thus has higher [MASK], opera or a rock concert?",No,Yes,volume,rainfall,frequency,volume,velocity,output
29,"Which is humid, and thus has higher [MASK], Hyderabad or Cairo?",Yes,Yes,rainfall,rainfall,humidity,temperatures,precipitation,humid
30,"Which is bigger, and thus has higher [MASK], Cargo ship or car?",No,No,volume,rainfall,weight,density,mass,dimensions
31,"Which is brighter and thus has a higher [MASK], bulb or the sun?",No,Yes,brightness,temperature,rainfall,brightness,status,rating
