Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Room Divider or Wisteria Lamp
",width,flexibility,depth,nodes,branches,layers
"Which is wider, and thus has more [MASK], Room Divider or Dressing Cabinet
",width,flexibility,depth,curves,edges,width
"Which is wider, and thus has more [MASK], Room Divider or Abbot's Stall
",width,flexibility,depth,detail,dimensions,curves
"Which is wider, and thus has more [MASK], Room Divider or Abbotsford style
",width,flexibility,pronounced,elaborate,detail,ornate
"Which is wider, and thus has more [MASK], Room Divider or ancient furniture
",width,ornate,elaborate,furniture,decoration,decorative
"Which is wider, and thus has more [MASK], Room Divider or Animal furniture
",width,flexible,flexibility,compact,efficient,space
"Which is wider, and thus has more [MASK], Room Divider or antique furniture
",width,expensive,furniture,modern,ornate,spacious
"Which is wider, and thus has more [MASK], Room Divider or Arca Bau
",width,flexibility,depth,nodes,dimensions,layers
"Which is wider, and thus has more [MASK], Room Divider or Arca Canastra
",width,branches,depth,dimensions,flexibility,curves
"Which is wider, and thus has more [MASK], Room Divider or architectural furniture
",width,decorative,flexible,detail,flexibility,furniture
"Which is wider, and thus has more [MASK], Room Divider or Armário Armário-Estante
",width,flexibility,subdivisions,dimensions,seats,inhabitants
"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Comida
",width,seats,subdivisions,inhabitants,flexibility,branches
"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Louça
",width,flexibility,seats,inhabitants,depth,dimensions
"Which is wider, and thus has more [MASK], Room Divider or Armário Guarda-Roupa
",width,inhabitants,seats,subdivisions,flexibility,branches
"Which is wider, and thus has more [MASK], Room Divider or Armário Vitrina-Armário
",width,subdivisions,inhabitants,seats,streets,branches
"Which is wider, and thus has more [MASK], Room Divider or Armário Vitrine
",width,flexibility,depth,complexity,layers,complications
"Which is wider, and thus has more [MASK], Room Divider or Armário: Guarda-Roupa
",width,subdivisions,inhabitants,branches,seats,streets
"Which is wider, and thus has more [MASK], Room Divider or Baby furniture
",width,flexibility,flexible,efficient,compact,space
"Which is wider, and thus has more [MASK], Room Divider or Bed tables
",width,flexibility,efficient,convenient,complicated,detail
"Which is wider, and thus has more [MASK], Room Divider or beer tap
",width,flexibility,beer,efficient,fluid,convenient
"Which is wider, and thus has more [MASK], Room Divider or Beijing-style furniture
",width,expensive,ornate,flexible,decorative,compact
"Which is wider, and thus has more [MASK], Room Divider or book chest
",width,flexibility,storage,space,pages,shelves
"Which is wider, and thus has more [MASK], Room Divider or Bureau table
",width,flexibility,detail,dimensions,complexity,edges
"Which is wider, and thus has more [MASK], Room Divider or campaign furniture
",width,flexibility,efficient,flexible,expensive,options
"Which is wider, and thus has more [MASK], Room Divider or Candle Bracket
",width,flexibility,depth,curves,edges,efficient
"Which is wider, and thus has more [MASK], Room Divider or Candle Stand
",width,flexibility,curves,edges,depth,symmetry
"Which is wider, and thus has more [MASK], Room Divider or Card table
",width,flexibility,detail,efficient,convenient,complexity
"Which is wider, and thus has more [MASK], Room Divider or Center Table
",width,flexibility,nodes,edges,complexity,depth
"Which is wider, and thus has more [MASK], Room Divider or chair back
",width,seats,flexibility,seating,space,chairs
"Which is wider, and thus has more [MASK], Room Divider or chaise longue
",width,curves,flexibility,depth,width,edges
"Which is wider, and thus has more [MASK], Room Divider or cheval glass
",width,flexibility,windows,space,glass,detail
"Which is wider, and thus has more [MASK], Room Divider or choir screen
",width,rounded,flexibility,flexible,seats,seating
"Which is wider, and thus has more [MASK], Room Divider or church shelf
",width,nave,flexibility,churches,space,seating
"Which is wider, and thus has more [MASK], Room Divider or Clothes valet
",width,flexibility,depth,curves,spacious,seats
"Which is wider, and thus has more [MASK], Room Divider or Cofre Portátil
",width,flexibility,dimensions,curves,edges,depth
"Which is wider, and thus has more [MASK], Room Divider or Coin cabinet
",width,flexibility,complexity,options,efficient,flexible
"Which is wider, and thus has more [MASK], Room Divider or Console Table
",width,flexibility,edges,dimensions,dimension,depth
"Which is wider, and thus has more [MASK], Room Divider or Corner Cabinet
",width,flexibility,edges,nodes,depth,flexible
"Which is wider, and thus has more [MASK], Room Divider or Corner Cabinet
",width,flexibility,edges,nodes,depth,flexible
"Which is wider, and thus has more [MASK], Room Divider or Corner chair
",width,flexibility,flexible,seats,efficient,seating
"Which is wider, and thus has more [MASK], Room Divider or Coromandel lacquer
",width,layers,edges,flexibility,dense,decoration
"Which is wider, and thus has more [MASK], Room Divider or cue stand
",width,flexibility,depth,flexible,convenient,edges
"Which is wider, and thus has more [MASK], Room Divider or Curule Chair
",width,flexibility,edges,curves,nodes,depth
"Which is wider, and thus has more [MASK], Room Divider or cylinder desk
",width,cylinders,flexible,flexibility,diameter,compact
"Which is wider, and thus has more [MASK], Room Divider or day bed
",width,flexibility,room,space,convenient,beds
"Which is wider, and thus has more [MASK], Room Divider or dresser-litter bin
",width,efficient,compact,storage,flexibility,flexible
"Which is wider, and thus has more [MASK], Room Divider or Drop-front desk
",width,flexibility,flexible,spacious,efficient,rounded
"Which is wider, and thus has more [MASK], Room Divider or Drop-front secretary
",width,flexibility,flexible,efficient,options,detail
"Which is wider, and thus has more [MASK], Room Divider or Easy Chair
",width,flexibility,flexible,efficient,complexity,nodes
"Which is wider, and thus has more [MASK], Room Divider or entertainment center
",width,amenities,restaurants,shops,facilities,rooms
"Which is wider, and thus has more [MASK], Room Divider or Escrivaninha Cômoda-Escrivaninha
",width,flexibility,branches,depth,subdivisions,curves
"Which is wider, and thus has more [MASK], Room Divider or Escrivaninha Portátil
",width,flexibility,depth,branches,dimensions,curves
"Which is wider, and thus has more [MASK], Room Divider or Estante Infantil
",width,flexibility,dimensions,depth,curves,dimension
"Which is wider, and thus has more [MASK], Room Divider or Fall-front Secretary
",width,flexibility,rounded,flexible,pronounced,robust
"Which is wider, and thus has more [MASK], Room Divider or Flower Stand
",width,flexibility,edges,nodes,curves,depth
"Which is wider, and thus has more [MASK], Room Divider or folding stool
",width,flexible,flexibility,rounded,folding,curved
"Which is wider, and thus has more [MASK], Room Divider or foot shelf
",width,flexibility,flexible,depth,space,width
"Which is wider, and thus has more [MASK], Room Divider or four-poster bed
",width,compact,spacious,flexible,rounded,narrow
"Which is wider, and thus has more [MASK], Room Divider or furniture component
",width,flexibility,furniture,flexible,space,detail
"Which is wider, and thus has more [MASK], Room Divider or Gallery Structure
",width,flexibility,flexible,depth,detail,efficient
