,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more [MASK], nut or bolt?",No,No,length,[PAD],and,more,[CLS],","
1,"Which is wider, and thus has more [MASK], bed or chair?",No,No,width,[PAD],and,more,[CLS],","
2,"Rock is heavier, thus has a higher [MASK].",No,No,weight,[PAD],and,more,[CLS],","
3,"Which is more nutritious, and thus more [MASK], burger or green vegetables?",No,No,healthy,[PAD],and,more,[CLS],","
4,"Which is more denser, and thus has a higher [MASK], oil or water?",No,No,density,[PAD],and,more,[CLS],","
5,"Which is faster, and thus has a higher [MASK], a cheetah or a turtle?",No,No,speed,[PAD],and,more,[CLS],","
6,"Which is cooler, and thus has a lower [MASK], ice or water?",No,No,temperature,[PAD],and,more,[CLS],","
7,"We need the BMI to determine who is [MASK], John Adams or Bill Clinton.",No,No,healthy,[PAD],and,more,[CLS],","
8,"We need the altitude to determine which is [MASK], Mt. Everest or Mt. Fuji.",No,No,higher,[PAD],and,more,[CLS],","
9,"Which has more protein, and thus more [MASK], chicken or potato?",No,No,healthy,[PAD],and,more,[CLS],","
10,"Which has less sugar, and is thus more [MASK], pepsi or beetroot?",No,No,healthy,[PAD],and,more,[CLS],","
11,"Which is taller and thus has more [MASK], Eiffel Tower or Burj Khalifa?",No,No,height,[PAD],and,more,[CLS],","
12,"What’s wider, and thus has a higher [MASK], table or chair?",No,No,width,[PAD],and,more,[CLS],","
13,"Which is more nutritious, and thus more [MASK], cheese or candies?",No,No,healthy,[PAD],and,more,[CLS],","
14,"Which is more nutritious, and thus more [MASK], soup or chocolates?",No,No,healthy,[PAD],and,more,[CLS],","
15,"We need the height to determine who is [MASK], Dwight D. Eisenhower or Bill Clinton",No,No,taller,[PAD],and,more,[CLS],","
16,"What’s hotter, and thus has a higher [MASK] London or Berlin?",No,No,temperature,[PAD],and,more,[CLS],","
17,"What’s humid and thus has a higher [MASK], London or Berlin?",No,No,rainfall,[PAD],and,more,[CLS],","
18,"This road is wider, thus it has more [MASK].",No,No,width,[PAD],and,more,[CLS],","
19,People of [MASK] 55 or older should consult their physician.,No,No,age,[PAD],and,more,[CLS],","
20,"Which is more humid and thus has a higher [MASK], New Delhi or Berlin?",No,No,rainfall,[PAD],and,more,[CLS],","
21,"Which is heavier and thus has a higher [MASK], iron or plasic?",No,No,weight,[PAD],and,more,[CLS],","
22,"Which is heavier and thus has a higher [MASK], rock or paper?",No,No,weight,[PAD],and,more,[CLS],","
23,"Which is cooler, and thus has a lower [MASK], sea or sand?",No,No,temperature,[PAD],and,more,[CLS],","
24,"Which is cooler and thus has a lower [MASK], North Pole or Sahara Desert?",No,No,temperature,[PAD],and,more,[CLS],","
25,"Which is longer, and thus has more [MASK], train or aeroplane?",No,No,length,[PAD],and,more,[CLS],","
26,"Which is deeper, and thus has more [MASK], swimming pool or ocean?",No,No,depth,[PAD],and,more,[CLS],","
27,"Which is deeper, and thus has more [MASK], oil well or water well?",No,No,depth,[PAD],and,more,[CLS],","
28,"Which is louder, and thus has higher [MASK], opera or a rock concert?",No,No,volume,[PAD],and,more,[CLS],","
29,"Which is humid, and thus has higher [MASK], Hyderabad or Cairo?",No,No,rainfall,[PAD],and,more,[CLS],","
30,"Which is bigger, and thus has higher [MASK], Cargo ship or car?",No,No,volume,[PAD],and,more,[CLS],","
31,"Which is brighter and thus has a higher [MASK], bulb or the sun?",No,No,brightness,[PAD],and,more,[CLS],","
32,"Which is brighter and thus has a higher [MASK], lamp or bulb?",No,No,brightness,[PAD],and,more,[CLS],","
33,"Which has a higher population, and thus more [MASK], San Francisco or New York?",No,No,populous,[PAD],and,more,[CLS],","
34,"Which has a higher population, and thus more [MASK], Mumbai or New Delhi?",No,No,populous,[PAD],and,more,[CLS],","
35,"Who has a higher wealth and is thus more [MASK], Bill Gates or Satya Nadella?",No,No,wealthy,[PAD],and,more,[CLS],","
36,"Who is richer and thus has more [MASK], Bill Gates or Satya Nadella?",No,No,wealth,[PAD],and,more,[CLS],","
37,"What is hotter, and thus has a higher [MASK], sun or moon?",No,No,temperature,[PAD],and,more,[CLS],","
38,"Which has a higher tensile strength, and thus is more [MASK], glass or plastic?",No,No,durable,[PAD],and,more,[CLS],","
39,"Which is brighter, and thus has more [MASK], a candle or a bulb?",No,No,brightness,[PAD],and,more,[CLS],","
40,"Which is more nutritious, and thus more [MASK], pizza or broccoli?",No,No,healthy,[PAD],and,more,[CLS],","
41,"Which is more nutritious, and thus more [MASK], coke or pizza?",No,No,healthy,[PAD],and,more,[CLS],","
42,"Which is more wider, and thus has more [MASK], suitcase or bag?",No,No,width,[PAD],and,more,[CLS],","
43,"Which has a higher cost of living, and is thus more [MASK], San Francisco or New York?",No,No,expensive,[PAD],and,more,[CLS],","
44,"Which is longer and thus has more [MASK], bed or table?",No,No,length,[PAD],and,more,[CLS],","
45,"Who is older and thus has more [MASK], Jeff Bezos or Satya Nadella?",No,No,age,[PAD],and,more,[CLS],","
46,"Who is older and thus has more [MASK], Donald Trump or Satya Nadella?",No,No,age,[PAD],and,more,[CLS],","
47,"Who was born earlier, and is thus [MASK], Narendra Modi or Rahul Gandhi?",No,No,older,[PAD],and,more,[CLS],","
48,"Who is taller and thus has a greater [MASK], a giraffe or a spider?",No,No,height,[PAD],and,more,[CLS],","
49,"Who is taller and thus has a greater [MASK], apple tree or mango tree?",No,No,height,[PAD],and,more,[CLS],","
