,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"Which is longer, and thus has more [MASK], nut or bolt?",No,No,length,##ato,rendered,##gni,ito,jude
1,"Which is wider, and thus has more [MASK], bed or chair?",No,No,width,##ato,assumption,##gni,ito,heir
2,"Rock is heavier, thus has a higher [MASK].",No,No,weight,heir,##bolic,yi,deserves,conveyed
3,"Which is more nutritious, and thus more [MASK], burger or green vegetables?",No,No,healthy,superman,##oge,applied,self,directed
4,"Which is more denser, and thus has a higher [MASK], oil or water?",No,No,density,claims,ito,deserves,##urt,predicting
5,"Which is faster, and thus has a higher [MASK], a cheetah or a turtle?",No,No,speed,heir,ito,deserves,predicting,claims
6,"Which is cooler, and thus has a lower [MASK], ice or water?",No,No,temperature,intercontinental,heir,##urt,claims,##lau
7,"We need the BMI to determine who is [MASK], John Adams or Bill Clinton.",No,No,healthy,##oc,##tery,##neas,bryce,##oge
8,"We need the altitude to determine which is [MASK], Mt. Everest or Mt. Fuji.",No,No,higher,##ials,##oc,bryce,##ular,free
9,"Which has more protein, and thus more [MASK], chicken or potato?",No,No,healthy,rendered,##mani,applied,jude,ito
10,"Which has less sugar, and is thus more [MASK], pepsi or beetroot?",No,No,healthy,##ials,mention,##oge,##tery,routes
11,"Which is taller and thus has more [MASK], Eiffel Tower or Burj Khalifa?",No,No,height,##ato,ito,rendered,jude,self
12,"What’s wider, and thus has a higher [MASK], table or chair?",No,No,width,##bolic,heir,jaime,earth,##imi
13,"Which is more nutritious, and thus more [MASK], cheese or candies?",No,No,healthy,quo,whistle,superman,self,##oge
14,"Which is more nutritious, and thus more [MASK], soup or chocolates?",No,No,healthy,superman,self,quo,##oge,whistle
15,"We need the height to determine who is [MASK], Dwight D. Eisenhower or Bill Clinton",No,No,taller,##tery,bryce,##oc,columns,double
16,"What’s hotter, and thus has a higher [MASK] London or Berlin?",No,No,temperature,##urt,heir,##mori,##ctive,ito
17,"What’s humid and thus has a higher [MASK], London or Berlin?",No,No,rainfall,ito,yi,heir,gma,claims
18,"This road is wider, thus it has more [MASK].",No,No,width,heir,##ands,>,earth,bonus
19,People of [MASK] 55 or older should consult their physician.,No,No,age,##yama,free,ito,##ular,nature
20,"Which is more humid and thus has a higher [MASK], New Delhi or Berlin?",No,No,rainfall,claims,conveyed,ito,deserves,predicting
21,"Which is heavier and thus has a higher [MASK], iron or plasic?",No,No,weight,ito,heir,deserves,predicting,claims
22,"Which is heavier and thus has a higher [MASK], rock or paper?",No,No,weight,heir,ito,predicting,conveyed,claims
23,"Which is cooler, and thus has a lower [MASK], sea or sand?",No,No,temperature,heir,predicting,claims,conan,##bolic
24,"Which is cooler and thus has a lower [MASK], North Pole or Sahara Desert?",No,No,temperature,heir,motive,conan,predicting,claims
25,"Which is longer, and thus has more [MASK], train or aeroplane?",No,No,length,##ato,##gni,rendered,jude,quo
26,"Which is deeper, and thus has more [MASK], swimming pool or ocean?",No,No,depth,##ato,##gni,phi,rendered,ito
27,"Which is deeper, and thus has more [MASK], oil well or water well?",No,No,depth,##ato,ito,##gni,rendered,skylar
28,"Which is louder, and thus has higher [MASK], opera or a rock concert?",No,No,volume,ito,heir,claims,imperialism,##mani
29,"Which is humid, and thus has higher [MASK], Hyderabad or Cairo?",No,No,rainfall,yi,claims,predicting,gma,ito
30,"Which is bigger, and thus has higher [MASK], Cargo ship or car?",No,No,volume,ito,claims,dinah,yi,##imi
31,"Which is brighter and thus has a higher [MASK], bulb or the sun?",No,No,brightness,heir,ito,##lau,##bolic,conveyed
32,"Which is brighter and thus has a higher [MASK], lamp or bulb?",No,No,brightness,heir,ito,hail,deserves,conveyed
33,"Which has a higher population, and thus more [MASK], San Francisco or New York?",No,No,populous,zachary,inc,##mani,##aco,##ato
34,"Which has a higher population, and thus more [MASK], Mumbai or New Delhi?",No,No,populous,##mani,##aco,zachary,tricky,##ato
35,"Who has a higher wealth and is thus more [MASK], Bill Gates or Satya Nadella?",No,No,wealthy,self,everett,##yna,earth,##aid
36,"Who is richer and thus has more [MASK], Bill Gates or Satya Nadella?",No,No,wealth,##ato,ito,rendered,jude,self
37,"What is hotter, and thus has a higher [MASK], sun or moon?",No,No,temperature,deserves,heir,conveyed,##bolic,intercontinental
38,"Which has a higher tensile strength, and thus is more [MASK], glass or plastic?",No,No,durable,gunnar,rendered,everett,skylar,superman
39,"Which is brighter, and thus has more [MASK], a candle or a bulb?",No,No,brightness,##ato,applied,rendered,self,jude
40,"Which is more nutritious, and thus more [MASK], pizza or broccoli?",No,No,healthy,##oge,superman,self,applied,##aid
41,"Which is more nutritious, and thus more [MASK], coke or pizza?",No,No,healthy,self,##oge,superman,quo,gunnar
42,"Which is more wider, and thus has more [MASK], suitcase or bag?",No,No,width,assumption,##ato,ito,skylar,##mani
43,"Which has a higher cost of living, and is thus more [MASK], San Francisco or New York?",No,No,expensive,self,everett,##oge,gunnar,skylar
44,"Which is longer and thus has more [MASK], bed or table?",No,No,length,##ato,##gni,heir,jude,assumption
45,"Who is older and thus has more [MASK], Jeff Bezos or Satya Nadella?",No,No,age,##ato,ito,##gni,rendered,jude
46,"Who is older and thus has more [MASK], Donald Trump or Satya Nadella?",No,No,age,##ato,ito,rendered,##gni,jude
47,"Who was born earlier, and is thus [MASK], Narendra Modi or Rahul Gandhi?",No,No,older,##mani,##mori,cochin,kazan,kochi
48,"Who is taller and thus has a greater [MASK], a giraffe or a spider?",No,No,height,earth,ito,motive,##urt,##ato
49,"Who is taller and thus has a greater [MASK], apple tree or mango tree?",No,No,height,ito,earth,##urt,##ato,self
