,Masked Sentence,Prediction
0,"Which is longer, and thus has more [MASK], 90-45-45 set square or Apollo Lunar Surface Drill
","squares, dimensions, rounded, space, compact"
1,"Which is longer, and thus has more [MASK], 90-45-45 set square or Arco de Pua com Catraca
","squares, square, dimensions, space, spaces"
2,"Which is longer, and thus has more [MASK], 90-45-45 set square or Arco de Serra
","squares, square, dimensions, space, spaces"
3,"Which is longer, and thus has more [MASK], 90-45-45 set square or blind rivetting tool
","flexible, efficient, compact, complicated, flexibility"
4,"Which is longer, and thus has more [MASK], 90-45-45 set square or Bone Awl with Beaded Case
","squares, rounded, edges, square, compact"
5,"Which is longer, and thus has more [MASK], 90-45-45 set square or bow saw blade
","flexible, slender, rounded, compact, powerful"
6,"Which is longer, and thus has more [MASK], 90-45-45 set square or Box of Architectural Instruments
","squares, dimensions, space, square, spaces"
7,"Which is longer, and thus has more [MASK], 90-45-45 set square or Brace and Bit
","squares, dimensions, edges, space, spaces"
8,"Which is longer, and thus has more [MASK], 90-45-45 set square or Broca de Púa
","squares, square, dimensions, space, width"
9,"Which is longer, and thus has more [MASK], 90-45-45 set square or Bronze cylindrical tool hande
","flexible, diameter, compact, rounded, complicated"
10,"Which is longer, and thus has more [MASK], 90-45-45 set square or business management tools
","efficient, flexible, flexibility, expensive, sophisticated"
11,"Which is longer, and thus has more [MASK], 90-45-45 set square or Case for Chopstick and Knife Kit -Souvenir Trade
","dimensions, space, squares, options, edges"
12,"Which is longer, and thus has more [MASK], 90-45-45 set square or Case for Kit with Chopsticks and Knife - Souvenir Trade
","dimensions, expensive, space, compact, rounded"
13,"Which is longer, and thus has more [MASK], 90-45-45 set square or Catraca de Furar
","squares, square, dimensions, space, width"
14,"Which is longer, and thus has more [MASK], 90-45-45 set square or Champagne bottle opener
","compact, flexible, efficient, expensive, convenient"
15,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Boca
","squares, dimensions, square, space, edges"
16,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Estiva
","squares, dimensions, square, space, edges"
17,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Fenda
","squares, dimensions, square, space, spaces"
18,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Mandril
","squares, dimensions, square, space, spaces"
19,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Porca
","squares, dimensions, square, space, spaces"
20,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Vela
","squares, square, dimensions, space, spaces"
21,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave para Porca
","squares, dimensions, edges, square, rounded"
22,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave para Porcas
","squares, dimensions, rounded, edges, square"
23,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick and Knife Kit -Souvenir Trade
","dimensions, expensive, options, colorful, squares"
24,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick for Chopstick and Knife Kit -Souvenir Trade
","expensive, dimensions, flexible, compact, flexibility"
25,"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick for Kit with Chopsticks and Knife - Souvenir Trade
","expensive, flexible, compact, convenient, rounded"
26,"Which is longer, and thus has more [MASK], 90-45-45 set square or combs in Basque mythology
","squares, complicated, rounded, than, edges"
