,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"To everyone 's surprise , Aenarion took another wife , the strange , mysterious and beautiful seeress Morathi whom he had rescued from a [MASK] of Slaanesh worshippers .",No,No,Band,fortunately,asthma,exclude,plaintiff,arresting
1,He 's joined a growing [MASK] of young homeless in Oxfordshire .,No,No,Band,##agger,retire,cheat,footballer,chef
2,Special thanks were due to Chris Markham who had had overall responsibility for organising the day and her [MASK] of very efficient and hard-working helpers .,No,No,Band,kyoto,someone,√,whom,bogota
3,Other miscellaneous missiles rained in on him as he clambered down from the improvised platform with the help of his small [MASK] of left-wing brothers .,No,No,Band,bragg,nickname,kyoto,##士,chinatown
4,He stalked off towards the camp 's edge where a huge [MASK] of his brothers waited .,No,No,Band,bragg,christy,crowds,##gizing,911
5,"A divided Church , adding to the divisions in a divided land ; or a Church led by a [MASK] of brothers ( and sisters ) as a healing force ?",No,No,Band,fortunately,sic,quintet,##holding,ª
6,In the execution of their duties the foresters often had to contend with armed [MASK] of desperate men ; in many cases they were beaten and even killed while attempting to arrest Forest offenders .,No,No,Bands,cheat,fortunately,killer,crowds,beaten
7,"He is accompanied by a [MASK] of men , presumably armed , and bears arrest warrants from the High Priest .",No,No,Band,sic,bragg,fortunately,reapers,<
8,William Prime thanked Grimsdale politely and the small [MASK] of disappointed people walked dejectedly away .,No,No,Band,cheat,dagger,muffled,##agger,silenced
9,"In the next years Studd and a small [MASK] of young people overcame difficulties to found a flourishing church , the start of a new pioneer mission , the Worldwide Evangelization Crusade ( 1919 ) .",No,No,Band,<,cheat,dagger,undoubtedly,kyoto
10,Every evening throughout 1922 a [MASK] of youths from the colony volunteered to guard the local stretch of the main road into Poltava .,No,No,Band,fortunately,##heater,##fted,cosmetic,##holding
11,"The layout is owned by Alistair Kerr and assisted by a small [MASK] of volunteer workers , ranging in age groups between 10 and 20 .",No,No,Band,kyoto,fortunately,nickname,asthma,bragg
12,"The [MASK] of volunteers rallied willingly at Edith 's command , and though her residency was comparatively short , her influence was great .",No,No,Bands,fortunately,undoubtedly,silenced,flawed,<
