Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is longer, and thus has more [MASK], 90-45-45 set square or Apollo Lunar Surface Drill
",length,squares,dimensions,rounded,space,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or Arco de Pua com Catraca
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Arco de Serra
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or blind rivetting tool
",length,flexible,efficient,compact,complicated,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Bone Awl with Beaded Case
",length,squares,rounded,edges,square,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or bow saw blade
",length,flexible,slender,rounded,compact,powerful
"Which is longer, and thus has more [MASK], 90-45-45 set square or Box of Architectural Instruments
",length,squares,dimensions,space,square,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Brace and Bit
",length,squares,dimensions,edges,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Broca de Púa
",length,squares,square,dimensions,space,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or Bronze cylindrical tool hande
",length,flexible,diameter,compact,rounded,complicated
"Which is longer, and thus has more [MASK], 90-45-45 set square or business management tools
",length,efficient,flexible,flexibility,expensive,sophisticated
"Which is longer, and thus has more [MASK], 90-45-45 set square or Case for Chopstick and Knife Kit -Souvenir Trade
",length,dimensions,space,squares,options,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Case for Kit with Chopsticks and Knife - Souvenir Trade
",length,dimensions,expensive,space,compact,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or Catraca de Furar
",length,squares,square,dimensions,space,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or Champagne bottle opener
",length,compact,flexible,efficient,expensive,convenient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Boca
",length,squares,dimensions,square,space,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Estiva
",length,squares,dimensions,square,space,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Fenda
",length,squares,dimensions,square,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Mandril
",length,squares,dimensions,square,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Porca
",length,squares,dimensions,square,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave de Vela
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave para Porca
",length,squares,dimensions,edges,square,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chave para Porcas
",length,squares,dimensions,rounded,edges,square
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick and Knife Kit -Souvenir Trade
",length,dimensions,expensive,options,colorful,squares
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick for Chopstick and Knife Kit -Souvenir Trade
",length,expensive,dimensions,flexible,compact,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Chopstick for Kit with Chopsticks and Knife - Souvenir Trade
",length,expensive,flexible,compact,convenient,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or combs in Basque mythology
",length,squares,complicated,rounded,than,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or data processors and accessories
",length,expensive,efficient,compact,flexible,powerful
"Which is longer, and thus has more [MASK], 90-45-45 set square or dead blow hammer
",length,flexibility,complicated,rounded,dimensions,precise
"Which is longer, and thus has more [MASK], 90-45-45 set square or digital media use and mental health
",length,efficient,affordable,flexibility,flexible,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or Dividers with Regulator
",length,squares,complicated,efficient,compact,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Duck-Billed Axe Head
",length,squares,complicated,rounded,compact,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Ekahau Site Survey
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or electric planer manual
",length,efficient,flexible,compact,complicated,expensive
"Which is longer, and thus has more [MASK], 90-45-45 set square or electric steam iron
",length,efficient,horsepower,cylinders,power,powerful
"Which is longer, and thus has more [MASK], 90-45-45 set square or Espátula de Vidraceiro
",length,squares,square,dimensions,spaces,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or Esperanto learning tool
",length,efficient,flexibility,flexible,compact,complex
"Which is longer, and thus has more [MASK], 90-45-45 set square or Essen-Frohnhausen antler device
",length,squares,square,rounded,dimensions,complicated
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fio de Aço
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fio de Latão
",length,squares,square,dimensions,space,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or fire hose protection ramp
",length,efficient,flexible,compact,robust,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Flash memory emulator
",length,expensive,efficient,compact,flexible,powerful
"Which is longer, and thus has more [MASK], 90-45-45 set square or Flint in the Form of a Bird
",length,squares,edges,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fly Casting Analyzer
",length,squares,efficient,complicated,edges,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fly fishing tackle
",length,depth,flexible,fins,flexibility,narrow
"Which is longer, and thus has more [MASK], 90-45-45 set square or Four-die forging device
",length,flexible,expensive,efficient,compact,complicated
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fresa com Eixo
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Fur skin hammer
",length,flexible,rounded,compact,flexibility,robust
"Which is longer, and thus has more [MASK], 90-45-45 set square or Gargoyle Series No. 1: The Gargoyle and His Quarry, Notre Dame
",length,squares,dimensions,square,elaborate,holes
"Which is longer, and thus has more [MASK], 90-45-45 set square or Grampo de Barra de Aço Ou Sargento
",length,squares,square,dimensions,spaces,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or Grampo de Barra Ou Sargento
",length,squares,square,dimensions,spaces,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or Hacksaw with Blade
",length,squares,dimensions,edges,square,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or Hand Saw with Blade
",length,squares,dimensions,edges,rounded,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or hot glue gun
",length,compact,flexible,efficient,expensive,lightweight
"Which is longer, and thus has more [MASK], 90-45-45 set square or Illumination Software Creator
",length,squares,efficient,symmetry,dimensions,complex
"Which is longer, and thus has more [MASK], 90-45-45 set square or Independent Forest Monitoring
",length,squares,flexibility,dimensions,space,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Inside and Outside Calipers
",length,squares,dimensions,edges,rounded,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or key to amend wire
",length,flexibility,complicated,options,holes,squares
"Which is longer, and thus has more [MASK], 90-45-45 set square or Kit with Chopsticks and Knife- Souvenir Trade
",length,dimensions,expensive,colorful,boxes,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or Knife for Chopstick and Knife Kit -Souvenir Trade
",length,dimensions,expensive,options,space,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Knife for Kit with Chopsticks and Knife- Souvenir Trade
",length,expensive,compact,flexible,options,dimensions
"Which is longer, and thus has more [MASK], 90-45-45 set square or Knipex pliers wrenches
",length,flexible,complicated,rounded,efficient,complex
"Which is longer, and thus has more [MASK], 90-45-45 set square or Laser line level
",length,squares,width,narrow,square,efficient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Logistics Support System
",length,squares,compact,flexible,rounded,dimensions
"Which is longer, and thus has more [MASK], 90-45-45 set square or L-shaped metal tool
",length,flexible,rounded,compact,narrow,curved
"Which is longer, and thus has more [MASK], 90-45-45 set square or match making equipment
",length,expensive,efficient,flexibility,flexible,compact
"Which is longer, and thus has more [MASK], 90-45-45 set square or matrix screen printing
",length,efficient,expensive,flexible,compact,complicated
"Which is longer, and thus has more [MASK], 90-45-45 set square or Mesa de Torno
",length,squares,dimensions,square,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Mesohabitat Simulation Model
",length,symmetry,complex,complicated,compact,efficient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Metal tool with eye hole
",length,flexible,rounded,diameter,compact,narrow
"Which is longer, and thus has more [MASK], 90-45-45 set square or Noah's Ark: Ten Mezzotints by Avati
",length,squares,dimensions,lines,elaborate,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or open source hardware
",length,expensive,efficient,compact,flexibility,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Paint Box of Vizier Amenemope
",length,squares,compact,square,dimensions,complex
"Which is longer, and thus has more [MASK], 90-45-45 set square or Pair of Chopsticks
",length,squares,square,dimensions,space,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or Palette in the Form of a Fish
",length,squares,edges,dimensions,square,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or Palette in the Form of a Turtle
",length,squares,edges,dimensions,square,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or pan to extend hat
",length,space,flexibility,width,holes,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Peça Cilíndrica Rosqueada
",length,squares,square,dimensions,width,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or Personal Composite Instrument
",length,rounded,flexible,dimensions,squares,diameter
"Which is longer, and thus has more [MASK], 90-45-45 set square or Pin for Hat
",length,squares,dimensions,space,edges,dimension
"Which is longer, and thus has more [MASK], 90-45-45 set square or plug and feather
",length,holes,dimensions,flexibility,diameter,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Pointed Bone Tool
",length,squares,rounded,compact,square,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Press cake breakers
",length,efficient,squares,complicated,flexible,holes
"Which is longer, and thus has more [MASK], 90-45-45 set square or push button applicator
",length,flexible,compact,efficient,rounded,flexibility
"Which is longer, and thus has more [MASK], 90-45-45 set square or Rock Abrasion Tool
",length,squares,dimensions,compact,complicated,dimension
"Which is longer, and thus has more [MASK], 90-45-45 set square or Roda de Polir
",length,squares,dimensions,square,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or roll smoke trouble
",length,compact,efficient,flexible,dense,rounded
"Which is longer, and thus has more [MASK], 90-45-45 set square or Rolo de Correia
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or rotary printing press
",length,compact,efficient,flexible,expensive,convenient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Search and Rescue Transponder
",length,space,efficient,compact,squares,flexible
"Which is longer, and thus has more [MASK], 90-45-45 set square or Serra de Arco
",length,squares,square,dimensions,space,spaces
"Which is longer, and thus has more [MASK], 90-45-45 set square or Set of Calligraphers' Tools
",length,squares,dimensions,square,complicated,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Set of Engraver's Tools
",length,squares,dimensions,square,detail,than
"Which is longer, and thus has more [MASK], 90-45-45 set square or Small bag of tool ends of iron
",length,flexible,diameter,compact,narrow,holes
"Which is longer, and thus has more [MASK], 90-45-45 set square or Soquete de Pedreiro
",length,squares,square,dimensions,spaces,space
"Which is longer, and thus has more [MASK], 90-45-45 set square or stainless steel soap
",length,flexible,compact,expensive,lightweight,efficient
"Which is longer, and thus has more [MASK], 90-45-45 set square or Straw Splitting Tool
",length,squares,square,dimensions,space,edges
"Which is longer, and thus has more [MASK], 90-45-45 set square or Talus or Die
",length,squares,dimensions,edges,space,width
"Which is longer, and thus has more [MASK], 90-45-45 set square or Tap and die
",length,squares,dimensions,edges,holes,space
