Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Arredo camera da letto
",width,seats,possibilities,inhabitants,depth,branches
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Augsburg Art Cabinet
",width,inhabitants,branches,possibilities,facilities,subdivisions
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Baú de viagem
",width,inhabitants,branches,beaches,tributaries,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Bahut-étagère la berce des près
",width,inhabitants,subdivisions,branches,beaches,suburbs
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or bonsai display table
",width,screens,seats,options,seating,displays
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Box with Military Scenes from Antiquity
",width,characteristics,possibilities,dimensions,diversity,depth
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cabide de Pé
",width,inhabitants,beaches,branches,subdivisions,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cabinet on stand
",width,seats,facilities,seating,amenities,options
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cadeira furada feminina
",width,beaches,branches,inhabitants,vegetation,tributaries
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cadeira furada masculina
",width,beaches,inhabitants,branches,tributaries,vegetation
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Candle Bracket Pair
",width,branches,inhabitants,tributaries,beaches,possibilities
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914
",width,decoration,furniture,dimensions,detail,ornaments
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cassone from the Colonna family
",width,relatives,varieties,variety,species,branches
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Cassone with Mannerist Design Elements
",width,flexibility,variety,branches,depth,inhabitants
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Chair or Bed Leg with the God Bes
",width,branches,inhabitants,possibilities,similarities,options
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Chest of Drawers
",width,inhabitants,branches,variety,beaches,characteristics
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Classic Chinese furniture
",width,furniture,decoration,ornate,elaborate,luxurious
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Commode à vantaux
",width,inhabitants,branches,dimensions,subdivisions,curves
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Confidant from the Batlló House
",width,autonomy,members,followers,supporters,inhabitants
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Console Table Depicting Chronos, or Father Time
",width,dimensions,possibilities,flexibility,options,layers
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Console Table Top
",width,inhabitants,branches,possibilities,subdivisions,tributaries
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Daffodil Table Lamp
",width,branches,inhabitants,varieties,tributaries,vegetation
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Desk and Bookcase
",width,branches,possibilities,options,flexibility,dimensions
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Door and Frame
",width,inhabitants,branches,streets,tributaries,entrances
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Door to Gothic Marriage Chest
",width,branches,depth,possibilities,flexibility,characteristics
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Doorway from the Isaac Gillet House, Painesville, Ohio
",width,access,entrances,views,exits,accessible
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Eames Storage Unit
",width,facilities,branches,capacity,flexibility,options
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or entrance desk S.M.A.K. Gent
",width,classrooms,facilities,rooms,offices,seats
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Fire Screen and Textile Panels
",width,flexibility,options,facilities,branches,layers
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre
",width,monuments,significance,inscriptions,importance,entries
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Gothic Marriage Chest
",width,branches,inhabitants,possibilities,depth,characteristics
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Gothic Marriage Chest
",width,branches,inhabitants,possibilities,depth,characteristics
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or High chest of drawers
",width,drawers,spacious,rooms,doors,room
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Leito de casal
",width,beaches,inhabitants,streets,branches,tributaries
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Liège-Aachen Baroque furniture
",width,ornate,elaborate,decoration,spacious,modern
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Louis XVI Style Candle Bracket
",width,branches,inhabitants,possibilities,flexibility,depth
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Madame Guimard's furniture
",width,furniture,decoration,rooms,decorations,room
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Marital stool with male and female caryatids
",width,common,characteristic,posterior,flexible,anterior
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Mesa de Cavalete
",width,inhabitants,beaches,clubs,branches,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Mesa de Centro
",width,inhabitants,beaches,branches,subdivisions,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Mesa de Jogo
",width,inhabitants,beaches,branches,subdivisions,streets
"Which is wider, and thus has more [MASK], Arca Mala de Viagem or Meuble mural décoré d'ombellifères
",width,entrances,rooms,gardens,views,inhabitants
