item,itemLabel
http://www.wikidata.org/entity/Q4642862,7-Bone Roast
http://www.wikidata.org/entity/Q7832353,Šampita
http://www.wikidata.org/entity/Q5395567,æbleskiver
http://www.wikidata.org/entity/Q6002018,ıslama köfte
http://www.wikidata.org/entity/Q2444993,çiğ köfte
http://www.wikidata.org/entity/Q5642869,étouffée
http://www.wikidata.org/entity/Q14931087,İnegöl meatballs
http://www.wikidata.org/entity/Q6068180,İskilip dolması
http://www.wikidata.org/entity/Q8077181,Åpent Bakeri
http://www.wikidata.org/entity/Q272964,Çäkçäk
http://www.wikidata.org/entity/Q55638285,Çökertme
http://www.wikidata.org/entity/Q55638286,Çöp şiş
http://www.wikidata.org/entity/Q2444993,Çiğ köfte
http://www.wikidata.org/entity/Q106777887,Çorbalık kesme
http://www.wikidata.org/entity/Q12659878,Žemaitiškas kastinys
http://www.wikidata.org/entity/Q263948,Žemlovka
http://www.wikidata.org/entity/Q19841241,açma
http://www.wikidata.org/entity/Q2464350,Öçpoçmaq
http://www.wikidata.org/entity/Q106726625,Aahaan kap klaem
http://www.wikidata.org/entity/Q107358883,Abacha
http://www.wikidata.org/entity/Q107358460,Abacha Ugba
http://www.wikidata.org/entity/Q107357035,Abak atama soup
http://www.wikidata.org/entity/Q4668108,Abnabat
http://www.wikidata.org/entity/Q4668424,Aborrajado
http://www.wikidata.org/entity/Q480906,Absnicli
http://www.wikidata.org/entity/Q64490692,Abunuabunu
http://www.wikidata.org/entity/Q392935,accara
http://www.wikidata.org/entity/Q6426645,Achappam
http://www.wikidata.org/entity/Q2870132,acheke
http://www.wikidata.org/entity/Q107358770,Achi Soup is
http://www.wikidata.org/entity/Q107358452,Achicha Ede
http://www.wikidata.org/entity/Q5299471,acorn noodle soup
http://www.wikidata.org/entity/Q15630073,Acquacotta
http://www.wikidata.org/entity/Q4678219,Ada
http://www.wikidata.org/entity/Q4682544,Adhirasam
http://www.wikidata.org/entity/Q4684013,Adobe bread
http://www.wikidata.org/entity/Q11284032,adobo
http://www.wikidata.org/entity/Q4685940,adulterated food
http://www.wikidata.org/entity/Q4689119,Afghan bread
http://www.wikidata.org/entity/Q107359030,African breadfruit
http://www.wikidata.org/entity/Q107364240,African Rosewood plant
http://www.wikidata.org/entity/Q107362795,African salad
http://www.wikidata.org/entity/Q96471573,Agbeli Kaklo
http://www.wikidata.org/entity/Q107855294,Agege bread
http://www.wikidata.org/entity/Q107357284,agidi
http://www.wikidata.org/entity/Q17062449,Aguapanela
http://www.wikidata.org/entity/Q16207756,Aila
http://www.wikidata.org/entity/Q4699128,Aish Merahrah
http://www.wikidata.org/entity/Q5147092,Aiyu jelly
http://www.wikidata.org/entity/Q3270822,Ajdovi žganci
http://www.wikidata.org/entity/Q4699709,Ajethna
http://www.wikidata.org/entity/Q413449,ajvar
http://www.wikidata.org/entity/Q392935,Akara
http://www.wikidata.org/entity/Q4701369,Akki rotti
http://www.wikidata.org/entity/Q4701955,Akumaki
http://www.wikidata.org/entity/Q18285591,Alambre
http://www.wikidata.org/entity/Q239977,Albacore
http://www.wikidata.org/entity/Q4712942,alcapurria
http://www.wikidata.org/entity/Q16826942,Alcohol-infused whipped cream
http://www.wikidata.org/entity/Q4720543,Alexandertorte
http://www.wikidata.org/entity/Q938682,Alfajor
http://www.wikidata.org/entity/Q5666489,alfajores
http://www.wikidata.org/entity/Q3774491,Alicot
http://www.wikidata.org/entity/Q3668485,Alinazik kebab
http://www.wikidata.org/entity/Q107862812,Alkaki
http://www.wikidata.org/entity/Q107859307,Alkubus
http://www.wikidata.org/entity/Q16827403,Allahabadi cake
http://www.wikidata.org/entity/Q1125542,Allerheiligenstriezel
http://www.wikidata.org/entity/Q20102682,Allioli de codony
http://www.wikidata.org/entity/Q23400,Allium sativum
http://www.wikidata.org/entity/Q4733868,Almogrote
http://www.wikidata.org/entity/Q4733894,almond bark
http://www.wikidata.org/entity/Q50317964,Aloo ki tikki
http://www.wikidata.org/entity/Q9056689,alphabet pasta
http://www.wikidata.org/entity/Q3893185,Altamura bread
http://www.wikidata.org/entity/Q107175849,Altoona-style pizza
http://www.wikidata.org/entity/Q25643944,Alu Bhaja
http://www.wikidata.org/entity/Q4737104,Alu Potala Rasa
http://www.wikidata.org/entity/Q16489253,Aluwa
http://www.wikidata.org/entity/Q107449428,Amala
http://www.wikidata.org/entity/Q4741197,Ambelopoulia
http://www.wikidata.org/entity/Q4742021,ambuyat
http://www.wikidata.org/entity/Q5618109,American hard gum
