,Masked_Sentence,Top,Top_Five,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
0,"To everyone 's surprise , Aenarion took another wife , the strange , mysterious and beautiful seeress Morathi whom he had rescued from a [MASK] of Slaanesh worshippers .",No,No,Band,group,flock,herd,mob,gathering
1,He 's joined a growing [MASK] of young homeless in Oxfordshire .,No,No,Band,number,group,colony,community,movement
2,Special thanks were due to Chris Markham who had had overall responsibility for organising the day and her [MASK] of very efficient and hard-working helpers .,No,No,Band,selection,group,roster,number,set
3,Other miscellaneous missiles rained in on him as he clambered down from the improvised platform with the help of his small [MASK] of left-wing brothers .,No,No,Band,group,troupe,contingent,platoon,number
4,He stalked off towards the camp 's edge where a huge [MASK] of his brothers waited .,No,No,Band,group,contingent,herd,number,gathering
5,"A divided Church , adding to the divisions in a divided land ; or a Church led by a [MASK] of brothers ( and sisters ) as a healing force ?",No,No,Band,group,number,congregation,handful,hierarchy
6,In the execution of their duties the foresters often had to contend with armed [MASK] of desperate men ; in many cases they were beaten and even killed while attempting to arrest Forest offenders .,No,No,Bands,gangs,groups,forces,squads,or
7,"He is accompanied by a [MASK] of men , presumably armed , and bears arrest warrants from the High Priest .",No,No,Band,group,handful,squad,troop,contingent
8,William Prime thanked Grimsdale politely and the small [MASK] of disappointed people walked dejectedly away .,No,No,Band,group,number,crowd,contingent,handful
9,"In the next years Studd and a small [MASK] of young people overcame difficulties to found a flourishing church , the start of a new pioneer mission , the Worldwide Evangelization Crusade ( 1919 ) .",No,No,Band,group,number,handful,contingent,community
10,Every evening throughout 1922 a [MASK] of youths from the colony volunteered to guard the local stretch of the main road into Poltava .,No,No,Band,group,number,handful,contingent,team
11,"The layout is owned by Alistair Kerr and assisted by a small [MASK] of volunteer workers , ranging in age groups between 10 and 20 .",No,No,Band,group,number,contingent,team,handful
12,"The [MASK] of volunteers rallied willingly at Edith 's command , and though her residency was comparatively short , her influence was great .",No,No,Bands,majority,handful,group,number,pool
13,"Then with slow deliberation they walked on , their spades clasped to them , as if they were a [MASK] of ancient warriors .",No,No,Band,group,collection,gathering,herd,class
14,"We seized our weapons and ran to Kilgrimol , and out of the Treasure House came a [MASK] of warrior women , bearing Undry .",No,No,Band,group,procession,handful,troop,herd
15,A [MASK] of British women truck drivers from the Royal Corps of Transport are ferrying supplies to the front line along treacherous mountainous dirt tracks .,No,No,Band,group,handful,number,contingent,list
16,"Together the [MASK] of women wailed and sang out , beating cymbals and drums .",No,No,Band,majority,group,masses,rest,choir
17,"Most of the graves were of infants and children , but there were also several dating from the Mutiny when a gallant [MASK] of British officers had died defending their women and children .",No,No,Band,##ry,##ly,number,##y,group
18,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own "" [MASK] "" of ringers , who would herald every Sunday morning and evening service .",No,No,Band,set,ring,cabinet,calendar,staff
19,""" Ringing does become a bit of an obsession , '' admits Stephanie Pattenden , master of the [MASK] at St. Mary Abbot and one of England 's best female ringers .",No,No,Band,rings,ring,ceremonies,organ,vault
20,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire [MASK] ; the ringers promptly set up a picket line in protest .",No,No,Band,church,parish,staff,flock,diocese
21,"An entirely new [MASK] rings today at Great Torrington , several of whom are members of the congregation .",No,No,Band,[CLS],congregation,church,membership,or
22,A double [MASK] of white shells were strung round the centre of it .,No,No,Band,drum,stack,bank,tier,row
23,"Iran is motivated by its aspirations for political , religious , and military leadership in the [MASK] , unlike North Korea , for whom mere survival appears to be the priority .",No,No,Region,nation,region,country,Philippines,future
24,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel and US forces deployed in the [MASK] .",No,No,Region,region,past,Philippines,area,Levant
25,"Iranian Defense and Foreign Ministry officials continue to defend Iran 's right to protect itself from potential threats in the [MASK] , while denying any ill intent towards countries such as the United States .",No,No,Region,future,past,region,military,country
26,"Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea [MASK] .",No,No,Regions,##ports,##field,##s,##port,regions
27,"Iran has a stockpile of these weapons , including artillery shells and bombs , which could be used in another conflict in the [MASK] .",No,No,Region,future,past,Philippines,region,country
28,Maintenance and expansion of Sino - Iranian relations naturally constitutes an important component of Chinese strategy in extending its influence to the [MASK] .,No,No,Region,east,west,mainland,region,Philippines
29,"Conversely , the US regards Iran as a rogue state that sponsors international terrorism ( including support for terrorists targeting the United States ) and seeks to subvert US allies in the [MASK] .",No,No,Region,past,region,future,US,process
30,"Iran currently possesses the capability to employ ballistic missiles and/or long - range artillery rockets against its regional neighbors , Israel , and US forces deployed in the [MASK] .",No,No,Region,region,past,Philippines,area,Levant
31,Libya claims it will not sign the CWC as long as other countries in the [MASK] possess NBC weapons .,No,No,Region,world,region,group,archipelago,Americas
32,"In the 1960s , Ferndale resident Jack Alderson commanded a group of light tugs that made trips to the islands that last week were declared a monument , as well as other remote atolls in the [MASK] .",No,No,Region,archipelago,area,region,1960s,vicinity
33,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the [MASK] by trade and diplomacy .",No,No,Region,continent,region,peninsula,island,archipelago
34,"In the wake of this tremendous natural upheaval , the Aegean Islands next came under the influence of the Mycenaeans ( at around 1300 b.c. ) , who had a base in the Peloponnese [MASK] of the Greek mainland .",No,No,Region,islands,peninsula,or,region,archipelago
35,"Greece moved in to administer the land , but a new influence upset any grand dreams of making this [MASK] a part of greater Greece .",No,No,Region,land,region,area,territory,country
