Masked Sentence,Actual,1_Prediction,2_Prediction,3_Prediction,4_Prediction,5_Prediction
"Which is longer, and thus has more [MASK], billet or pattern
",length,length,width,skirt,hair,ribbon
"Which is longer, and thus has more [MASK], factor or arrow
",length,length,dimension,depth,radius,complexity
"Which is longer, and thus has more [MASK], factor or mallet
",length,length,weight,radius,width,dimension
"Which is longer, and thus has more [MASK], pattern or arrow
",length,length,depth,shape,symmetry,width
"Which is longer, and thus has more [MASK], weight or arrow
",length,length,height,depth,strength,flexibility
"Which is longer, and thus has more [MASK], weight or factor
",length,length,dimension,energy,complexity,weight
"Which is longer, and thus has more [MASK], weight or jackhammer
",length,length,weight,flexibility,height,power
"Which is longer, and thus has more [MASK], weight or Lâmina
",length,length,flexibility,depth,height,weight
"Which is longer, and thus has more [MASK], weight or mallet
",length,length,height,weight,flexibility,strength
"Which is longer, and thus has more [MASK], weight or screwdriver
",length,length,torque,flexibility,weight,power
"Which is longer, and thus has more [MASK], weight or slasher
",length,length,height,flexibility,strength,size
"Which is longer, and thus has more [MASK], weight or straightedge
",length,length,height,flexibility,strength,width
"Which is longer, and thus has more [MASK], weight or tailstock
",length,length,weight,height,flexibility,strength
"Which is wider, and thus has more [MASK], arcaz or armrest
",width,width,sleeves,branches,armour,legs
"Which is wider, and thus has more [MASK], bank or bonnetière
",width,width,arches,roof,windows,square
"Which is wider, and thus has more [MASK], bier or bank
",width,width,branches,edges,sides,depth
"Which is wider, and thus has more [MASK], bier or seat
",width,width,space,height,room,sides
"Which is wider, and thus has more [MASK], bier or Vitrina
",width,width,depth,edges,lobes,sides
"Which is wider, and thus has more [MASK], caning or bonnetière
",width,width,curves,rounded,trim,sleeves
"Which is wider, and thus has more [MASK], chest or Athénienne
",width,width,ribs,sides,legs,sleeves
"Which is wider, and thus has more [MASK], chest or bed
",width,width,legs,room,space,sides
"Which is wider, and thus has more [MASK], chest or Bookcase
",width,width,sides,sleeves,rounded,legs
"Which is wider, and thus has more [MASK], chest or closet
",width,width,legs,sleeves,chest,sides
"Which is wider, and thus has more [MASK], chest or counter
",width,width,sides,legs,height,hips
"Which is wider, and thus has more [MASK], chest or Estante
",width,width,ribs,sides,legs,rounded
"Which is wider, and thus has more [MASK], chest or Highboy
",width,width,legs,hips,sleeves,sides
"Which is wider, and thus has more [MASK], chest or Seating
",width,width,flexibility,rounded,sides,hair
"Which is wider, and thus has more [MASK], chesterfield or armrest
",width,width,height,seats,armour,seating
"Which is wider, and thus has more [MASK], chesterfield or headrest
",width,width,height,seats,armour,sides
"Which is wider, and thus has more [MASK], Clock or chest
",width,width,ribs,sides,claws,branches
"Which is wider, and thus has more [MASK], Hatstand or headrest
",width,width,sleeves,fur,rounded,seats
"Which is wider, and thus has more [MASK], Highboy or bier
",width,width,curves,sides,bays,edges
"Which is wider, and thus has more [MASK], Highboy or chest
",width,width,sides,sleeves,rounded,height
"Which is wider, and thus has more [MASK], Highboy or Commode
",width,width,depth,curves,rounded,narrow
"Which is wider, and thus has more [MASK], Highboy or headrest
",width,width,rounded,sleeves,fur,belt
"Which is wider, and thus has more [MASK], medalist or bonnetière
",width,width,rounded,skirt,curves,sleeves
"Which is wider, and thus has more [MASK], medalist or chest
",width,width,sides,branches,depth,height
"Which is wider, and thus has more [MASK], medalist or headrest
",width,width,fur,hair,wings,height
"Which is wider, and thus has more [MASK], Oonjal or bed
",width,width,room,beds,depth,height
"Which is wider, and thus has more [MASK], Screen or chest
",width,width,sides,space,depth,ribs
"Which is wider, and thus has more [MASK], Screen or chest
",width,width,sides,space,depth,ribs
"Which is wider, and thus has more [MASK], Secretary or bonnetière
",width,width,curves,belt,rounded,sleeves
"Which is wider, and thus has more [MASK], Secretary or chest
",width,width,sides,branches,depth,space
"Which is wider, and thus has more [MASK], Secretary or headrest
",width,width,wings,claws,legs,fur
"Which is wider, and thus has more [MASK], Secretary or Pedestal
",width,width,depth,curves,rounded,edges
"Which is wider, and thus has more [MASK], shelf or bier
",width,width,space,depth,thickness,length
"Which is wider, and thus has more [MASK], shelf or bonnetière
",width,width,belt,space,roof,room
"Which is wider, and thus has more [MASK], stand or bier
",width,width,height,branches,edges,flexibility
"Which is wider, and thus has more [MASK], stand or bonnetière
",width,width,height,sides,windows,skirts
"Which is wider, and thus has more [MASK], table or bonnetière
",width,width,square,room,skirt,seating
"Which is more nutritious, and thus more [MASK], aush or fit-fit
",healthy,healthy,convenient,expensive,robust,desirable
"Which is more nutritious, and thus more [MASK], Benedictine or brain
",healthy,healthy,expensive,robust,productive,efficient
"Which is more nutritious, and thus more [MASK], Benedictine or fit-fit
",healthy,healthy,expensive,convenient,robust,economical
